name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Ursus Knife | Ultraviolet (Field-Tested)@175.0@154.0@235.0@230.3@skinport@csdeals@55.3
★ Ursus Knife | Ultraviolet (Field-Tested)@186.69@177.35549999999998@235.0@230.3@shadowpay@csdeals@43.61
★ Ursus Knife | Tiger Tooth (Minimal Wear)@279.0@245.52@363.81@345.6195@skinport@shadowpay@66.62
★ Ursus Knife | Tiger Tooth (Minimal Wear)@279.0@245.52@450.0@441.0@skinport@csdeals@162.0
★ Ursus Knife | Tiger Tooth (Minimal Wear)@363.81@345.6195@450.0@441.0@shadowpay@csdeals@77.19
★ Ursus Knife | Tiger Tooth (Factory New)@289.28@254.5664@365.2@346.94@skinport@shadowpay@57.66
★ Ursus Knife | Tiger Tooth (Factory New)@289.28@254.5664@489.99@480.1902@skinport@csdeals@190.91
★ Ursus Knife | Tiger Tooth (Factory New)@365.2@346.94@489.99@480.1902@shadowpay@csdeals@114.99
★ Ursus Knife | Stained (Well-Worn)@130.0@114.4@163.61@155.42950000000002@skinport@shadowpay@25.43
★ Ursus Knife | Stained (Field-Tested)@140.63@123.7544@167.05@158.6975@skinport@shadowpay@18.07
★ Ursus Knife | Stained (Factory New)@210.45@185.196@270.14@256.633@skinport@shadowpay@46.18
★ Ursus Knife | Slaughter (Minimal Wear)@294.43@259.0984@325.22@308.959@skinport@shadowpay@14.53
★ Ursus Knife | Slaughter (Factory New)@330.0@290.4@360.81@342.7695@skinport@shadowpay@12.77
★ Ursus Knife | Safari Mesh (Minimal Wear)@134.0@117.92@160.44@152.41799999999998@skinport@shadowpay@18.42
★ Ursus Knife | Safari Mesh (Minimal Wear)@134.0@117.92@157.0@153.86@skinport@csdeals@19.86
★ Ursus Knife | Rust Coat (Battle-Scarred)@164.55@156.3225@216.99@190.9512@shadowpay@skinport@26.4
★ Ursus Knife | Rust Coat (Battle-Scarred)@165.0@161.7@216.99@190.9512@csdeals@skinport@25.95
★ Ursus Knife | Night Stripe (Field-Tested)@150.2@132.176@169.49@161.0155@skinport@shadowpay@10.82
★ Ursus Knife | Night Stripe (Field-Tested)@150.2@132.176@165.0@161.7@skinport@csdeals@11.5
★ Ursus Knife | Night Stripe (Battle-Scarred)@130.0@114.4@167.02@158.669@skinport@shadowpay@28.67
★ Ursus Knife | Marble Fade (Minimal Wear)@417.1@396.245@549.99@538.9902@shadowpay@csdeals@121.89
★ Ursus Knife | Marble Fade (Factory New)@345.0@303.6@375.4@356.62999999999994@skinport@shadowpay@11.63
★ Ursus Knife | Marble Fade (Factory New)@345.0@303.6@369.79@362.3942@skinport@csdeals@17.39
★ Ursus Knife | Forest DDPAT (Well-Worn)@131.0@115.28@186.43@177.1085@skinport@shadowpay@46.11
★ Ursus Knife | Fade (Factory New)@455.0@400.4@511.81@486.2195@skinport@shadowpay@31.22
★ Ursus Knife | Doppler (Minimal Wear)@435.0@382.8@594.0@564.3@skinport@shadowpay@129.3
★ Ursus Knife | Doppler (Minimal Wear)@435.0@382.8@790.0@750.5@skinport@shadowpay@315.5
★ Ursus Knife | Doppler (Factory New)@440.0@387.2@522.75@496.6125@skinport@shadowpay@56.61
★ Ursus Knife | Doppler (Factory New)@440.0@387.2@524.2@497.99@skinport@shadowpay@57.99
★ Ursus Knife | Doppler (Factory New)@440.0@387.2@522.74@496.603@skinport@shadowpay@56.6
★ Ursus Knife | Doppler (Factory New)@440.0@387.2@1860.29@1767.2755@skinport@shadowpay@1327.28
★ Ursus Knife | Doppler (Factory New)@440.0@387.2@1404.9@1334.655@skinport@shadowpay@894.66
★ Ursus Knife | Doppler (Factory New)@440.0@387.2@1599.0@1519.05@skinport@shadowpay@1079.05
★ Ursus Knife | Damascus Steel (Well-Worn)@154.9@136.312@188.18@178.771@skinport@shadowpay@23.87
★ Ursus Knife | Damascus Steel (Field-Tested)@162.52@143.01760000000002@182.61@173.4795@skinport@shadowpay@10.96
★ Ursus Knife | Damascus Steel (Field-Tested)@162.52@143.01760000000002@190.0@186.2@skinport@csdeals@23.68
★ Ursus Knife | Damascus Steel (Factory New)@183.5@161.48@217.85@206.9575@skinport@shadowpay@23.46
★ Ursus Knife | Crimson Web (Minimal Wear)@379.69@334.1272@460.77@437.7315@skinport@shadowpay@58.04
★ Ursus Knife | Crimson Web (Field-Tested)@240.12@211.3056@279.89@265.8955@skinport@shadowpay@25.78
★ Ursus Knife | Crimson Web (Field-Tested)@240.12@211.3056@400.0@392.0@skinport@csdeals@151.88
★ Ursus Knife | Crimson Web (Field-Tested)@279.89@265.8955@400.0@392.0@shadowpay@csdeals@112.11
★ Ursus Knife | Crimson Web (Battle-Scarred)@192.1@169.048@214.57@203.8415@skinport@shadowpay@11.74
★ Ursus Knife | Case Hardened (Minimal Wear)@250.23@220.2024@299.44@284.468@skinport@shadowpay@34.24
★ Ursus Knife | Case Hardened (Field-Tested)@186.34@163.9792@233.17@221.5115@skinport@shadowpay@35.17
★ Ursus Knife | Case Hardened (Factory New)@539.0@512.05@666.0@586.08@shadowpay@skinport@47.08
★ Ursus Knife | Case Hardened (Battle-Scarred)@160.0@140.8@211.08@200.526@skinport@shadowpay@40.53
★ Ursus Knife | Boreal Forest (Well-Worn)@125.0@110.0@147.0@139.65@skinport@shadowpay@14.65
★ Ursus Knife | Boreal Forest (Field-Tested)@131.25@115.5@159.98@151.981@skinport@shadowpay@20.73
★ Ursus Knife | Boreal Forest (Field-Tested)@131.25@115.5@152.0@148.96@skinport@csdeals@17.71
★ Ursus Knife | Boreal Forest (Factory New)@199.5@189.525@250.0@220.0@shadowpay@skinport@20.5
★ Ursus Knife | Blue Steel (Minimal Wear)@203.07@178.70159999999998@245.0@232.75@skinport@shadowpay@29.68
★ Ursus Knife | Blue Steel (Minimal Wear)@215.0@210.7@245.0@232.75@csdeals@shadowpay@17.75
★ Ursus Knife | Blue Steel (Field-Tested)@171.0@150.48@204.89@194.6455@skinport@shadowpay@23.65
★ Ursus Knife | Blue Steel (Factory New)@299.0@263.12@355.16@337.402@skinport@shadowpay@38.4
★ Ursus Knife@208.48@183.4624@239.25@227.2875@skinport@shadowpay@18.81
★ Talon Knife | Urban Masked (Minimal Wear)@400.0@352.0@447.55@425.1725@skinport@shadowpay@25.17
★ Talon Knife | Urban Masked (Field-Tested)@321.82@283.2016@387.32@367.954@skinport@shadowpay@46.13
★ Talon Knife | Ultraviolet (Minimal Wear)@551.36@485.1968@752.83@715.1885@skinport@shadowpay@163.83
★ Talon Knife | Ultraviolet (Minimal Wear)@569.99@558.5902@752.83@715.1885@csdeals@shadowpay@145.2
★ Talon Knife | Ultraviolet (Field-Tested)@410.74@361.4512@497.91@473.0145@skinport@shadowpay@62.27
★ Talon Knife | Tiger Tooth (Minimal Wear)@780.0@686.4@851.99@809.3905@skinport@shadowpay@29.39
★ Talon Knife | Tiger Tooth (Minimal Wear)@780.0@686.4@849.99@832.9902@skinport@csdeals@52.99
★ Talon Knife | Tiger Tooth (Factory New)@714.1@628.408@831.75@790.1624999999999@skinport@shadowpay@76.06
★ Talon Knife | Tiger Tooth (Factory New)@714.1@628.408@785.0@769.3@skinport@csdeals@55.2
★ Talon Knife | Stained (Well-Worn)@400.0@352.0@453.9@431.205@skinport@shadowpay@31.2
★ Talon Knife | Stained (Minimal Wear)@450.57@396.5016@518.99@493.0405@skinport@shadowpay@42.47
★ Talon Knife | Stained (Field-Tested)@440.8@387.904@548.8@521.3599999999999@skinport@shadowpay@80.56
★ Talon Knife | Stained (Battle-Scarred)@406.13@357.3944@485.27@461.0065@skinport@shadowpay@54.88
★ Talon Knife | Stained (Battle-Scarred)@412.0@403.76@485.27@461.0065@csdeals@shadowpay@49.01
★ Talon Knife | Slaughter (Minimal Wear)@789.99@695.1912@851.24@808.678@skinport@shadowpay@18.69
★ Talon Knife | Slaughter (Field-Tested)@700.0@616.0@772.5@733.875@skinport@shadowpay@33.88
★ Talon Knife | Slaughter (Factory New)@983.02@865.0576@1215.0@1154.25@skinport@shadowpay@171.23
★ Talon Knife | Slaughter (Factory New)@950.0@931.0@1215.0@1154.25@csdeals@shadowpay@204.25
★ Talon Knife | Scorched (Well-Worn)@355.3@312.664@387.48@368.106@skinport@shadowpay@12.81
