name@price@price_after_sell
AK-47 | Black Laminate (Minimal Wear)@41.35@40.523
AK-47 | Blue Laminate (Factory New)@27.00@26.46
AK-47 | Blue Laminate (Field-Tested)@24.99@24.490199999999998
AK-47 | Blue Laminate (Minimal Wear)@500.00@490.0
AK-47 | Case Hardened (Battle-Scarred)@208.22@204.0556
AK-47 | Case Hardened (Field-Tested)@266.09@260.7682
AK-47 | Elite Build (Factory New)@7.55@7.399
AK-47 | Elite Build (Field-Tested)@1.83@1.7934
AK-47 | Elite Build (Minimal Wear)@10.00@9.8
AK-47 | Emerald Pinstripe (Minimal Wear)@7.20@7.056
AK-47 | Fire Serpent (Minimal Wear)@1799.99@1763.9902
AK-47 | Fire Serpent (Well-Worn)@899.99@881.9902
AK-47 | Frontside Misty (Battle-Scarred)@17.77@17.4146
AK-47 | Frontside Misty (Well-Worn)@35.00@34.3
AK-47 | Fuel Injector (Battle-Scarred)@155.00@151.9
AK-47 | Fuel Injector (Factory New)@499.99@489.9902
AK-47 | Fuel Injector (Field-Tested)@227.72@223.16559999999998
AK-47 | Fuel Injector (Minimal Wear)@269.99@264.5902
AK-47 | Neon Revolution (Field-Tested)@55.00@53.9
AK-47 | Neon Revolution (Minimal Wear)@37.75@36.995
AK-47 | Point Disarray (Field-Tested)@17.30@16.954
AK-47 | Predator (Battle-Scarred)@20.00@19.6
AK-47 | Predator (Factory New)@63.41@62.141799999999996
AK-47 | Predator (Field-Tested)@23.60@23.128
AK-47 | Predator (Minimal Wear)@24.70@24.206
AK-47 | Safari Mesh (Battle-Scarred)@10.00@9.8
AK-47 | Safari Mesh (Factory New)@2.23@2.1854
AK-47 | Safari Mesh (Field-Tested)@10.00@9.8
AK-47 | Safari Mesh (Minimal Wear)@0.18@0.1764
AK-47 | Safari Mesh (Well-Worn)@0.13@0.1274
AK-47 | Vulcan (Factory New)@1150.00@1127.0
AK-47 | Vulcan (Well-Worn)@185.00@181.29999999999998
AUG | Akihabara Accept (Field-Tested)@799.99@783.9902
AUG | Akihabara Accept (Minimal Wear)@1429.68@1401.0864000000001
AUG | Aristocrat (Factory New)@17.00@16.66
AUG | Aristocrat (Well-Worn)@2.00@1.96
AUG | Chameleon (Battle-Scarred)@4.06@3.9787999999999997
AUG | Chameleon (Field-Tested)@4.00@3.92
AUG | Colony (Minimal Wear)@5.89@5.7722
AUG | Condemned (Factory New)@1.90@1.8619999999999999
AUG | Condemned (Minimal Wear)@0.40@0.392
AUG | Contractor (Minimal Wear)@0.02@0.0196
AUG | Contractor (Well-Worn)@0.10@0.098
AUG | Fleet Flock (Field-Tested)@3.00@2.94
AUG | Radiation Hazard (Battle-Scarred)@2.80@2.7439999999999998
AUG | Radiation Hazard (Minimal Wear)@4.00@3.92
AUG | Ricochet (Factory New)@0.45@0.441
AUG | Storm (Factory New)@0.56@0.5488000000000001
AUG | Storm (Field-Tested)@0.10@0.098
AUG | Torque (Factory New)@13.87@13.5926
AUG | Torque (Field-Tested)@16.00@15.68
AUG | Torque (Well-Worn)@11.84@11.6032
AWP | Asiimov (Battle-Scarred)@119.99@117.5902
AWP | Asiimov (Field-Tested)@150.00@147.0
AWP | Asiimov (Well-Worn)@116.99@114.6502
