name@price@price_after_sell
★ Bayonet | Marble Fade (Minimal Wear)@817.41@776.5395
Tec-9 | Nuclear Threat (Factory New)@757.5@719.625
★ Karambit | Damascus Steel (Factory New)@1236.41@1174.5895
★ StatTrak™ Butterfly Knife | Crimson Web (Minimal Wear)@2276.01@2162.2095
★ StatTrak™ M9 Bayonet | Crimson Web (Well-Worn)@850.0@807.5
P250 | Nuclear Threat (Factory New)@498.56@473.632
★ StatTrak™ Karambit | Damascus Steel (Well-Worn)@1199.0@1139.05
★ Karambit | Slaughter (Field-Tested)@1400.28@1330.2659999999998
Souvenir M4A1-S | Master Piece (Battle-Scarred)@128.43@122.0085
★ StatTrak™ M9 Bayonet | Blue Steel (Minimal Wear)@1020.0@969.0
Souvenir M4A1-S | Master Piece (Well-Worn)@130.32@123.80399999999999
★ StatTrak™ M9 Bayonet | Ultraviolet (Minimal Wear)@919.0@873.05
Souvenir P2000 | Amber Fade (Well-Worn)@50.0@47.5
★ StatTrak™ Huntsman Knife | Fade (Minimal Wear)@607.1@576.745
StatTrak™ AK-47 | Vulcan (Factory New)@1699.14@1614.183
★ Bayonet | Tiger Tooth (Minimal Wear)@698.95@664.0025
★ StatTrak™ Karambit | Damascus Steel (Field-Tested)@3134.42@2977.699
★ Bayonet | Tiger Tooth (Factory New)@575.29@546.5255
StatTrak™ USP-S | Overgrowth (Factory New)@230.0@218.5
★ StatTrak™ Butterfly Knife | Slaughter (Minimal Wear)@2112.0@2006.3999999999999
★ StatTrak™ Karambit | Case Hardened (Field-Tested)@1243.2@1181.04
StatTrak™ AWP | Hyper Beast (Factory New)@271.62@258.039
★ StatTrak™ Falchion Knife | Fade (Factory New)@595.0@565.25
★ StatTrak™ Flip Knife | Marble Fade (Factory New)@626.82@595.479
★ StatTrak™ Bayonet | Damascus Steel (Factory New)@550.0@522.5
★ StatTrak™ Karambit | Case Hardened (Battle-Scarred)@1049.99@997.4905
★ StatTrak™ M9 Bayonet | Damascus Steel (Field-Tested)@866.25@822.9375
★ M9 Bayonet | Blue Steel (Factory New)@1273.5@1209.825
★ StatTrak™ M9 Bayonet | Damascus Steel (Minimal Wear)@870.0@826.5
★ M9 Bayonet | Fade (Factory New)@2152.6@2044.9699999999998
★ M9 Bayonet | Slaughter (Minimal Wear)@1412.34@1341.723
★ Karambit | Damascus Steel (Minimal Wear)@1136.0@1079.2
StatTrak™ AK-47 | Aquamarine Revenge (Factory New)@372.21@353.5995
★ Karambit | Ultraviolet (Minimal Wear)@1154.99@1097.2404999999999
★ StatTrak™ Karambit@1850.86@1758.3169999999998
★ StatTrak™ Karambit | Ultraviolet (Field-Tested)@925.0@878.75
★ Karambit | Night (Minimal Wear)@1387.24@1317.878
★ StatTrak™ Falchion Knife | Slaughter (Minimal Wear)@414.85@394.1075
