name@price@price_after_sell
10 Year Birthday Sticker Capsule@0.72@0.6335999999999999
1st Lieutenant Farlow | SWAT@6.22@5.4736
2020 RMR Challengers@0.2@0.17600000000000002
2020 RMR Contenders@0.24@0.2112
2020 RMR Legends@0.21@0.1848
2021 Community Sticker Capsule@1.3@1.1440000000000001
3rd Commando Company | KSK@9.0@7.92
Aces High Pin@7.2@6.336
AK-47 | Aquamarine Revenge (Battle-Scarred)@27.5@24.2
AK-47 | Aquamarine Revenge (Factory New)@119.28@104.96640000000001
AK-47 | Aquamarine Revenge (Field-Tested)@32.89@28.9432
AK-47 | Aquamarine Revenge (Minimal Wear)@70.61@62.1368
AK-47 | Aquamarine Revenge (Well-Worn)@27.78@24.4464
AK-47 | Asiimov (Battle-Scarred)@27.53@24.2264
AK-47 | Asiimov (Factory New)@172.97@152.2136
AK-47 | Asiimov (Field-Tested)@28.19@24.8072
AK-47 | Asiimov (Minimal Wear)@50.0@44.0
AK-47 | Asiimov (Well-Worn)@34.31@30.192800000000002
AK-47 | Baroque Purple (Battle-Scarred)@6.85@6.028
AK-47 | Baroque Purple (Factory New)@18.22@16.0336
AK-47 | Baroque Purple (Field-Tested)@6.84@6.0192
AK-47 | Baroque Purple (Minimal Wear)@7.84@6.8991999999999996
AK-47 | Baroque Purple (Well-Worn)@6.39@5.6232
AK-47 | Black Laminate (Battle-Scarred)@41.47@36.4936
AK-47 | Black Laminate (Factory New)@163.01@143.4488
AK-47 | Black Laminate (Field-Tested)@36.99@32.5512
AK-47 | Black Laminate (Minimal Wear)@39.33@34.6104
AK-47 | Black Laminate (Well-Worn)@37.35@32.868
AK-47 | Bloodsport (Factory New)@169.6@149.248
AK-47 | Bloodsport (Field-Tested)@137.08@120.63040000000001
AK-47 | Bloodsport (Minimal Wear)@153.1@134.728
AK-47 | Bloodsport (Well-Worn)@140.0@123.2
AK-47 | Blue Laminate (Factory New)@15.43@13.5784
AK-47 | Blue Laminate (Field-Tested)@12.9@11.352
AK-47 | Blue Laminate (Minimal Wear)@14.0@12.32
AK-47 | Blue Laminate (Well-Worn)@15.97@14.053600000000001
AK-47 | B the Monster (Battle-Scarred)@128.15@112.772
AK-47 | B the Monster (Factory New)@681.97@600.1336
AK-47 | B the Monster (Field-Tested)@211.51@186.12879999999998
AK-47 | B the Monster (Minimal Wear)@348.59@306.75919999999996
AK-47 | B the Monster (Well-Worn)@179.99@158.3912
AK-47 | Cartel (Battle-Scarred)@17.0@14.96
AK-47 | Cartel (Factory New)@34.12@30.025599999999997
AK-47 | Cartel (Field-Tested)@14.94@13.1472
AK-47 | Cartel (Minimal Wear)@16.02@14.0976
AK-47 | Cartel (Well-Worn)@18.26@16.068800000000003
AK-47 | Case Hardened (Battle-Scarred)@161.75@142.34
AK-47 | Case Hardened (Factory New)@307.19@270.3272
AK-47 | Case Hardened (Field-Tested)@210.0@184.8
AK-47 | Case Hardened (Minimal Wear)@247.74@218.0112
AK-47 | Case Hardened (Well-Worn)@178.49@157.0712
AK-47 | Crossfade (Battle-Scarred)@1.72@1.5136
AK-47 | Crossfade (Factory New)@3.26@2.8688
AK-47 | Crossfade (Field-Tested)@1.87@1.6456000000000002
AK-47 | Crossfade (Minimal Wear)@2.0@1.76
AK-47 | Crossfade (Well-Worn)@1.4@1.232
AK-47 | Elite Build (Battle-Scarred)@1.15@1.012
AK-47 | Elite Build (Factory New)@6.58@5.7904
AK-47 | Elite Build (Field-Tested)@1.54@1.3552
AK-47 | Elite Build (Minimal Wear)@2.37@2.0856
AK-47 | Elite Build (Well-Worn)@1.11@0.9768000000000001
AK-47 | Emerald Pinstripe (Battle-Scarred)@4.15@3.652
AK-47 | Emerald Pinstripe (Factory New)@11.54@10.155199999999999
AK-47 | Emerald Pinstripe (Field-Tested)@4.79@4.2152
