name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AWP | Dragon Lore (Minimal Wear)@11999.99@11759.9902@13854.7@13161.965@csdeals@shadowpay@1161.98
Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015@20.0@19.6@84.15@79.9425@csdeals@shadowpay@59.94
Desert Eagle | Blaze (Factory New)@627.0@614.46@697.47@662.5965@csdeals@shadowpay@35.6
Desert Eagle | Sunset Storm 弐 (Factory New)@359.99@352.7902@397.77@377.8815@csdeals@shadowpay@17.89
Desert Eagle | Sunset Storm 弐 (Field-Tested)@370.0@362.6@718.85@682.9075@csdeals@shadowpay@312.91
Dual Berettas | Briar (Field-Tested)@4.17@4.0866@18.65@17.717499999999998@csdeals@shadowpay@13.55
ESL One Cologne 2014 Legends@77.0@75.46@92.03@87.4285@csdeals@shadowpay@10.43
Five-SeveN | Candy Apple (Factory New)@90.0@88.2@120.58@114.551@csdeals@shadowpay@24.55
Galil AR | Aqua Terrace (Factory New)@155.0@151.9@184.49@175.2655@csdeals@shadowpay@20.27
Glock-18 | Brass (Factory New)@82.48@80.8304@172.74@164.103@csdeals@shadowpay@81.62
M4A1-S | Hot Rod (Factory New)@1100.0@1078.0@1244.0@1181.8@csdeals@shadowpay@81.8
M4A1-S | Hot Rod (Minimal Wear)@1049.99@1028.9902@2070.64@1967.108@csdeals@shadowpay@917.12
M4A1-S | Icarus Fell (Minimal Wear)@549.99@538.9902@616.63@585.7985@csdeals@shadowpay@35.81
M4A4 | Howl (Field-Tested)@4499.99@4409.990199999999@4950.0@4702.5@csdeals@shadowpay@202.51
MAC-10 | Commuter (Minimal Wear)@12.02@11.7796@54.3@51.585@csdeals@shadowpay@39.56
MAG-7 | Counter Terrace (Factory New)@140.0@137.2@195.39@185.6205@csdeals@shadowpay@45.62
MP7 | Whiteout (Minimal Wear)@68.78@67.4044@99.89@94.8955@csdeals@shadowpay@26.12
SCAR-20 | Splash Jam (Minimal Wear)@40.0@39.2@55.91@53.11449999999999@csdeals@shadowpay@13.11
StatTrak™ AK-47 | Fuel Injector (Field-Tested)@359.99@352.7902@406.38@386.061@csdeals@shadowpay@26.07
StatTrak™ AK-47 | Vulcan (Factory New)@1569.16@1537.7768@1699.14@1614.183@csdeals@shadowpay@45.02
StatTrak™ AWP | Corticera (Factory New)@113.1@110.838@140.95@133.90249999999995@csdeals@shadowpay@20.8
StatTrak™ AWP | Lightning Strike (Factory New)@940.0@921.2@1020.94@969.893@csdeals@shadowpay@29.89
StatTrak™ M4A1-S | Cyrex (Well-Worn)@64.8@63.504@102.13@97.02349999999998@csdeals@shadowpay@32.22
StatTrak™ SSG 08 | Big Iron (Factory New)@70.32@68.91359999999999@89.76@85.272@csdeals@shadowpay@14.95
StatTrak™ USP-S | Caiman (Minimal Wear)@90.0@88.2@123.54@117.363@csdeals@shadowpay@27.36
Sticker | G2 Esports | Atlanta 2017@7.28@7.1344@25.0@23.75@csdeals@shadowpay@16.47
Sticker | HellRaisers | Atlanta 2017@20.0@19.6@39.99@37.9905@csdeals@shadowpay@17.99
Sticker | Ninjas in Pyjamas (Holo) | Katowice 2015@85.0@83.3@132.68@126.046@csdeals@shadowpay@41.05
Sticker | Titan (Holo) | Cologne 2014@148.86@145.8828@203.0@192.85@csdeals@shadowpay@43.99
Sticker | WorldEdit | Cologne 2015@15.0@14.7@30.0@28.5@csdeals@shadowpay@13.5
Sticker | Xizt (Foil) | MLG Columbus 2016@15.0@14.7@36.43@34.6085@csdeals@shadowpay@19.61
Sticker | Zeus | Cologne 2015@10.0@9.8@21.35@20.2825@csdeals@shadowpay@10.28
Sticker | loWel | Atlanta 2017@3.9@3.822@33.95@32.2525@csdeals@shadowpay@28.35
Sticker | mousesports (Holo) | Atlanta 2017@71.49@70.0602@102.82@97.679@csdeals@shadowpay@26.19
Sticker | mousesports | MLG Columbus 2016@8.0@7.84@29.58@28.101@csdeals@shadowpay@20.1
Tec-9 | Terrace (Well-Worn)@147.95@144.991@205.54@195.263@csdeals@shadowpay@47.31
USP-S | Royal Blue (Factory New)@75.0@73.5@96.91@92.0645@csdeals@shadowpay@17.06
★ Bayonet | Autotronic (Factory New)@939.0@920.22@1100.29@1045.2755@csdeals@shadowpay@106.28
★ Bayonet | Tiger Tooth (Factory New)@516.0@505.68@575.29@546.5255@csdeals@shadowpay@30.53
★ Butterfly Knife@2343.63@2296.7574@2599.94@2469.943@csdeals@shadowpay@126.31
★ Butterfly Knife | Blue Steel (Factory New)@1699.99@1665.9902@2030.0@1928.5@csdeals@shadowpay@228.51
★ Butterfly Knife | Case Hardened (Minimal Wear)@1349.99@1322.9902@1526.96@1450.612@csdeals@shadowpay@100.62
★ Butterfly Knife | Crimson Web (Well-Worn)@1049.99@1028.9902@1142.99@1085.8405@csdeals@shadowpay@35.85
★ Butterfly Knife | Fade (Factory New)@3764.0@3688.72@4184.15@3974.9425@csdeals@shadowpay@210.94
★ Butterfly Knife | Safari Mesh (Minimal Wear)@840.0@823.1999999999999@911.94@866.343@csdeals@shadowpay@26.34
★ Falchion Knife | Slaughter (Field-Tested)@270.63@265.2174@343.14@325.98299999999995@csdeals@shadowpay@55.35
★ Flip Knife | Autotronic (Minimal Wear)@394.67@386.7766@435.0@413.25@csdeals@shadowpay@18.58
★ Flip Knife | Crimson Web (Minimal Wear)@450.0@441.0@662.11@629.0045@csdeals@shadowpay@179.0
★ Flip Knife | Lore (Factory New)@510.0@499.8@692.6@657.97@csdeals@shadowpay@147.97
★ Gut Knife | Ultraviolet (Minimal Wear)@148.0@145.04@195.02@185.269@csdeals@shadowpay@37.27
★ Huntsman Knife | Forest DDPAT (Field-Tested)@150.0@147.0@174.2@165.48999999999998@csdeals@shadowpay@15.49
★ Karambit | Autotronic (Battle-Scarred)@1122.0@1099.56@1229.28@1167.816@csdeals@shadowpay@45.82
★ Karambit | Autotronic (Well-Worn)@1307.0@1280.86@1452.41@1379.7895@csdeals@shadowpay@72.79
★ Karambit | Black Laminate (Minimal Wear)@1220.0@1195.6@1304.85@1239.6074999999998@csdeals@shadowpay@19.61
★ Karambit | Boreal Forest (Minimal Wear)@759.95@744.751@838.0@796.0999999999999@csdeals@shadowpay@36.15
★ Karambit | Crimson Web (Field-Tested)@999.99@979.9902@1087.44@1033.068@csdeals@shadowpay@33.08
★ Karambit | Damascus Steel (Factory New)@1150.0@1127.0@1236.41@1174.5895@csdeals@shadowpay@24.59
★ Karambit | Fade (Factory New)@2920.0@2861.6@3330.0@3163.5@csdeals@shadowpay@243.5
★ Karambit | Fade (Minimal Wear)@2699.99@2645.9902@2999.84@2849.848@csdeals@shadowpay@149.86
★ Karambit | Freehand (Factory New)@999.99@979.9902@1098.97@1044.0215@csdeals@shadowpay@44.03
★ Karambit | Lore (Field-Tested)@999.0@979.02@1110.0@1054.5@csdeals@shadowpay@55.5
★ Karambit | Night (Well-Worn)@854.75@837.655@935.32@888.554@csdeals@shadowpay@33.8
★ Karambit | Scorched (Minimal Wear)@824.99@808.4902@1028.33@976.9135@csdeals@shadowpay@151.92
★ Karambit | Stained (Minimal Wear)@965.0@945.7@1136.79@1079.9505@csdeals@shadowpay@114.95
★ Karambit | Tiger Tooth (Factory New)@1452.0@1422.96@1590.96@1511.412@csdeals@shadowpay@59.41
★ M9 Bayonet | Autotronic (Battle-Scarred)@1015.0@994.7@1105.0@1049.75@csdeals@shadowpay@34.75
★ M9 Bayonet | Autotronic (Well-Worn)@1129.99@1107.3902@1400.0@1330.0@csdeals@shadowpay@200.01
★ M9 Bayonet | Damascus Steel (Minimal Wear)@824.89@808.3922@891.41@846.8394999999999@csdeals@shadowpay@21.95
★ M9 Bayonet | Fade (Factory New)@1922.0@1883.56@2152.6@2044.97@csdeals@shadowpay@122.97
★ M9 Bayonet | Lore (Factory New)@2560.0@2508.8@2833.2@2691.5399999999995@csdeals@shadowpay@131.54
★ M9 Bayonet | Marble Fade (Factory New)@1437.0@1408.26@1543.35@1466.1825@csdeals@shadowpay@29.18
★ M9 Bayonet | Slaughter (Minimal Wear)@1200.0@1176.0@1412.34@1341.723@csdeals@shadowpay@141.72
★ M9 Bayonet | Tiger Tooth (Factory New)@1175.0@1151.5@1311.75@1246.1625@csdeals@shadowpay@71.16
★ M9 Bayonet | Tiger Tooth (Minimal Wear)@1199.99@1175.9902@1435.5@1363.725@csdeals@shadowpay@163.73
★ Moto Gloves | Cool Mint (Battle-Scarred)@229.99@225.3902@255.93@243.1335@csdeals@shadowpay@13.14
★ Sport Gloves | Hedge Maze (Well-Worn)@5000.0@4900.0@5683.19@5399.030499999999@csdeals@shadowpay@399.03
★ Sport Gloves | Pandora's Box (Battle-Scarred)@3599.99@3527.9902@3867.93@3674.5335@csdeals@shadowpay@74.54
★ Sport Gloves | Pandora's Box (Field-Tested)@6999.99@6859.990199999999@8249.99@7837.490499999999@csdeals@shadowpay@837.5
★ StatTrak™ Bayonet | Slaughter (Factory New)@699.95@685.951@747.4@710.03@csdeals@shadowpay@10.08
★ StatTrak™ Butterfly Knife@2123.85@2081.373@2250.0@2137.5@csdeals@shadowpay@13.65
★ StatTrak™ Butterfly Knife | Crimson Web (Minimal Wear)@1925.0@1886.5@2276.01@2162.2095@csdeals@shadowpay@237.21
★ StatTrak™ Butterfly Knife | Fade (Factory New)@3499.99@3429.9902@3900.0@3705.0@csdeals@shadowpay@205.01
★ StatTrak™ Butterfly Knife | Night (Field-Tested)@968.6@949.228@1094.85@1040.1074999999998@csdeals@shadowpay@71.51
★ StatTrak™ Butterfly Knife | Stained (Well-Worn)@1024.99@1004.4902@1199.26@1139.297@csdeals@shadowpay@114.31
★ StatTrak™ Flip Knife | Autotronic (Minimal Wear)@410.0@401.8@540.0@513.0@csdeals@shadowpay@103.0
★ StatTrak™ Flip Knife | Rust Coat (Battle-Scarred)@219.99@215.5902@264.95@251.7025@csdeals@shadowpay@31.71
★ StatTrak™ Karambit | Autotronic (Field-Tested)@1399.99@1371.9902@1543.59@1466.4105@csdeals@shadowpay@66.42
★ StatTrak™ Karambit | Crimson Web (Field-Tested)@1035.0@1014.3@1184.99@1125.7405@csdeals@shadowpay@90.74
★ StatTrak™ Karambit | Fade (Factory New)@2749.99@2694.9902@3415.21@3244.4495@csdeals@shadowpay@494.46
★ StatTrak™ Karambit | Freehand (Minimal Wear)@925.0@906.5@1003.54@953.363@csdeals@shadowpay@28.36
★ StatTrak™ Karambit | Marble Fade (Factory New)@1799.99@1763.9902@1949.99@1852.4905@csdeals@shadowpay@52.5
★ StatTrak™ Karambit | Safari Mesh (Battle-Scarred)@658.31@645.1437999999999@705.0@669.75@csdeals@shadowpay@11.44
★ StatTrak™ M9 Bayonet | Autotronic (Field-Tested)@1099.99@1077.9902@1249.46@1186.987@csdeals@shadowpay@87.0
★ StatTrak™ M9 Bayonet | Crimson Web (Well-Worn)@742.16@727.3168@850.0@807.5@csdeals@shadowpay@65.34
★ StatTrak™ M9 Bayonet | Slaughter (Minimal Wear)@1099.99@1077.9902@1373.6@1304.9199999999998@csdeals@shadowpay@204.93
★ StatTrak™ M9 Bayonet | Tiger Tooth (Minimal Wear)@1199.99@1175.9902@1508.31@1432.8945@csdeals@shadowpay@232.9
★ StatTrak™ M9 Bayonet | Ultraviolet (Minimal Wear)@859.99@842.7902@919.0@873.05@csdeals@shadowpay@13.06
★ Butterfly Knife | Marble Fade (Factory New)@2435.0@2386.3@2705.0@2569.75@csdeals@shadowpay@134.75
★ Butterfly Knife | Damascus Steel (Factory New)@1425.0@1396.5@1510.81@1435.2695@csdeals@shadowpay@10.27
★ Butterfly Knife | Tiger Tooth (Factory New)@1999.99@1959.9902@2129.99@2023.4905@csdeals@shadowpay@23.5
★ StatTrak™ Butterfly Knife | Tiger Tooth (Factory New)@1925.0@1886.5@2159.99@2051.9905@csdeals@shadowpay@126.99
★ StatTrak™ Butterfly Knife | Damascus Steel (Field-Tested)@1139.99@1117.1902@1230.0@1168.5@csdeals@shadowpay@28.51
Dual Berettas | Cobra Strike (Factory New)@55.0@53.9@75.25@71.4875@csdeals@shadowpay@16.49
StatTrak™ AWP | Oni Taiji (Factory New)@890.0@872.1999999999999@984.99@935.7405@csdeals@shadowpay@45.74
StatTrak™ AWP | Oni Taiji (Well-Worn)@365.68@358.3664@470.0@446.5@csdeals@shadowpay@80.82
Sticker | SK Gaming (Holo) | Boston 2018@14.68@14.3864@35.63@33.8485@csdeals@shadowpay@19.17
Sticker | Kjaerbye (Foil) | Boston 2018@13.0@12.74@28.4@26.98@csdeals@shadowpay@13.98
Sticker | Twistzz | Boston 2018@18.47@18.1006@38.33@36.4135@csdeals@shadowpay@17.94
Sticker | Stewie2K (Foil) | Boston 2018@49.49@48.5002@63.7@60.515@csdeals@shadowpay@11.02
Sticker | RpK (Foil) | Boston 2018@15.1@14.798@28.24@26.828@csdeals@shadowpay@11.73
★ Hand Wraps | Cobalt Skulls (Minimal Wear)@799.0@783.02@868.64@825.208@csdeals@shadowpay@26.21
★ Ursus Knife | Blue Steel (Minimal Wear)@215.0@210.7@245.0@232.75@csdeals@shadowpay@17.75
★ Stiletto Knife | Case Hardened (Field-Tested)@420.0@411.6@460.0@437.0@csdeals@shadowpay@17.0
★ Talon Knife | Stained (Battle-Scarred)@412.0@403.76@485.27@461.0065@csdeals@shadowpay@49.01
Souvenir MP7 | Fade (Field-Tested)@25.96@25.4408@53.42@50.749@csdeals@shadowpay@24.79
★ Talon Knife | Slaughter (Factory New)@950.0@931.0@1215.0@1154.25@csdeals@shadowpay@204.25
★ StatTrak™ Stiletto Knife@475.0@465.5@552.01@524.4095@csdeals@shadowpay@49.41
Sticker | KrizzeN (Foil) | Katowice 2019@9.99@9.7902@22.1@20.995@csdeals@shadowpay@11.0
Sticker | Cloud9 (Foil) | Katowice 2019@23.26@22.7948@55.0@52.25@csdeals@shadowpay@28.99
★ Talon Knife | Ultraviolet (Minimal Wear)@569.99@558.5902@752.83@715.1885@csdeals@shadowpay@145.2
★ StatTrak™ Talon Knife | Marble Fade (Factory New)@1085.0@1063.3@1590.08@1510.5759999999998@csdeals@shadowpay@425.58
★ StatTrak™ Talon Knife | Fade (Minimal Wear)@1499.99@1469.9902@1599.0@1519.05@csdeals@shadowpay@19.06
★ Stiletto Knife | Tiger Tooth (Minimal Wear)@544.88@533.9824@599.7@569.715@csdeals@shadowpay@24.84
★ StatTrak™ Ursus Knife | Damascus Steel (Factory New)@213.58@209.3084@300.0@285.0@csdeals@shadowpay@71.42
Sticker | AdreN (Gold) | Berlin 2019@20.26@19.8548@39.45@37.4775@csdeals@shadowpay@17.22
★ Classic Knife | Blue Steel (Well-Worn)@200.42@196.4116@254.57@241.8415@csdeals@shadowpay@41.42
★ Classic Knife | Blue Steel (Field-Tested)@223.22@218.7556@251.75@239.1625@csdeals@shadowpay@15.94
★ Classic Knife | Scorched (Minimal Wear)@160.23@157.0254@182.0@172.9@csdeals@shadowpay@12.67
SSG 08 | Sea Calico (Factory New)@449.99@440.9902@883.2@839.04@csdeals@shadowpay@389.05
SCAR-20 | Brass (Factory New)@149.99@146.99020000000002@229.23@217.7685@csdeals@shadowpay@67.78
MAC-10 | Copper Borre (Factory New)@145.0@142.1@196.79@186.9505@csdeals@shadowpay@41.95
FAMAS | Sundown (Factory New)@150.0@147.0@172.35@163.7325@csdeals@shadowpay@13.73
P90 | Astral Jörmungandr (Factory New)@430.0@421.4@472.5@448.875@csdeals@shadowpay@18.88
CZ75-Auto | Emerald Quartz (Factory New)@150.0@147.0@203.56@193.382@csdeals@shadowpay@43.38
XM1014 | Frost Borre (Factory New)@169.99@166.5902@197.76@187.872@csdeals@shadowpay@17.88
Desert Eagle | Emerald Jörmungandr (Minimal Wear)@385.0@377.3@449.82@427.329@csdeals@shadowpay@42.33
AUG | Flame Jörmungandr (Factory New)@420.0@411.6@558.83@530.8885@csdeals@shadowpay@110.89
MP7 | Teal Blossom (Factory New)@159.99@156.7902@203.02@192.869@csdeals@shadowpay@32.88
Glock-18 | Synth Leaf (Factory New)@480.0@470.4@524.57@498.3415@csdeals@shadowpay@18.34
UMP-45 | Day Lily (Factory New)@149.99@146.99020000000002@206.16@195.852@csdeals@shadowpay@45.86
★ StatTrak™ Talon Knife | Damascus Steel (Minimal Wear)@550.0@539.0@608.28@577.866@csdeals@shadowpay@27.87
★ StatTrak™ Nomad Knife | Slaughter (Minimal Wear)@520.0@509.6@637.4@605.53@csdeals@shadowpay@85.53
★ StatTrak™ Nomad Knife | Case Hardened (Minimal Wear)@879.88@862.2823999999999@1215.0@1154.25@csdeals@shadowpay@274.37
★ Nomad Knife | Case Hardened (Battle-Scarred)@290.0@284.2@776.99@738.1405@csdeals@shadowpay@448.14
★ Nomad Knife | Crimson Web (Battle-Scarred)@300.0@294.0@337.36@320.492@csdeals@shadowpay@20.49
★ StatTrak™ Nomad Knife | Night Stripe (Battle-Scarred)@189.99@186.1902@280.0@266.0@csdeals@shadowpay@76.01
★ StatTrak™ Nomad Knife | Blue Steel (Battle-Scarred)@329.99@323.3902@362.23@344.1185@csdeals@shadowpay@14.13
★ Driver Gloves | Black Tie (Minimal Wear)@579.0@567.42@666.65@633.3175@csdeals@shadowpay@54.32
StatTrak™ M4A1-S | Printstream (Field-Tested)@335.0@328.3@383.63@364.4485@csdeals@shadowpay@29.45
StatTrak™ Glock-18 | Neo-Noir (Minimal Wear)@90.99@89.1702@114.86@109.117@csdeals@shadowpay@18.13
★ Specialist Gloves | Tiger Strike (Minimal Wear)@879.0@861.42@937.5@890.625@csdeals@shadowpay@11.62
Sticker | Astralis (Gold) | 2020 RMR@6.5@6.37@55.0@52.25@csdeals@shadowpay@45.75
Glock-18 | Gamma Doppler (Minimal Wear)@70.0@68.6@105.0@99.75@csdeals@shadowpay@29.75
Glock-18 | Gamma Doppler (Minimal Wear)@70.0@68.6@350.46@332.93699999999995@csdeals@shadowpay@262.94
Glock-18 | Gamma Doppler (Minimal Wear)@70.0@68.6@134.65@127.9175@csdeals@shadowpay@57.92
★ Butterfly Knife | Freehand (Factory New)@1256.66@1231.5268@1336.36@1269.542@csdeals@shadowpay@12.88
MAC-10 | Case Hardened (Field-Tested)@80.0@78.4@95.81@91.0195@csdeals@shadowpay@11.02
M4A4 | Red DDPAT (Factory New)@89.99@88.19019999999999@118.58@112.651@csdeals@shadowpay@22.66
★ Bowie Knife | Bright Water (Factory New)@147.29@144.3442@168.63@160.1985@csdeals@shadowpay@12.91
★ Shadow Daggers | Autotronic (Minimal Wear)@155.0@151.9@178.09@169.1855@csdeals@shadowpay@14.19
M4A1-S | Imminent Danger (Factory New)@1799.99@1763.9902@1907.24@1811.878@csdeals@shadowpay@11.89
★ Butterfly Knife | Autotronic (Minimal Wear)@1999.99@1959.9902@2212.5@2101.875@csdeals@shadowpay@101.88
★ Butterfly Knife | Bright Water (Well-Worn)@949.99@930.9902@1010.85@960.3075@csdeals@shadowpay@10.32
★ Butterfly Knife | Lore (Battle-Scarred)@999.99@979.9902@1132.24@1075.628@csdeals@shadowpay@75.64
StatTrak™ Desert Eagle | Ocean Drive (Factory New)@399.99@391.9902@579.1@550.145@csdeals@shadowpay@150.15
