name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ StatTrak™ Flip Knife | Marble Fade (Factory New)@586.08@556.7760000000001@649.99@636.9902@shadowpay@csdeals@50.91
★ Bayonet | Fade (Factory New)@775.0@736.25@1149.99@1126.9902@shadowpay@csdeals@351.99
★ Bayonet | Slaughter (Factory New)@677.13@643.2735@729.99@715.3902@shadowpay@csdeals@38.26
AK-47 | Fire Serpent (Minimal Wear)@1350.0@1282.5@1799.99@1763.9902@shadowpay@csdeals@413.99
★ StatTrak™ Flip Knife | Fade (Factory New)@693.99@659.2905@880.0@862.4@shadowpay@csdeals@168.41
★ StatTrak™ Bayonet@507.44@482.068@700.0@686.0@shadowpay@csdeals@178.56
★ Butterfly Knife | Slaughter (Minimal Wear)@2279.99@2165.9905@2350.0@2303.0@shadowpay@csdeals@23.01
AUG | Akihabara Accept (Minimal Wear)@1300.0@1235.0@1429.68@1401.0864@shadowpay@csdeals@101.09
Glock-18 | Fade (Factory New)@1604.17@1523.9615@1749.99@1714.9902@shadowpay@csdeals@110.82
★ Huntsman Knife | Fade (Factory New)@467.26@443.897@499.95@489.951@shadowpay@csdeals@22.69
StatTrak™ AK-47 | Case Hardened (Factory New)@1041.02@988.969@1150.0@1127.0@shadowpay@csdeals@85.98
★ Flip Knife | Marble Fade (Factory New)@511.03@485.4785@650.0@637.0@shadowpay@csdeals@125.97
★ StatTrak™ Butterfly Knife | Crimson Web (Field-Tested)@1287.18@1222.821@1599.99@1567.9902@shadowpay@csdeals@280.81
★ Falchion Knife | Fade (Factory New)@412.5@391.875@460.3@451.094@shadowpay@csdeals@38.59
★ StatTrak™ Gut Knife | Marble Fade (Factory New)@274.29@260.57550000000003@350.0@343.0@shadowpay@csdeals@68.71
★ Flip Knife | Fade (Minimal Wear)@740.34@703.323@899.99@881.9902@shadowpay@csdeals@141.65
★ Flip Knife | Tiger Tooth (Factory New)@430.34@408.823@480.0@470.4@shadowpay@csdeals@40.06
★ M9 Bayonet | Crimson Web (Field-Tested)@871.26@827.697@999.99@979.9902@shadowpay@csdeals@108.73
AK-47 | Fire Serpent (Well-Worn)@791.0@751.4499999999999@899.99@881.9902@shadowpay@csdeals@90.99
★ Bayonet | Damascus Steel (Field-Tested)@320.7@304.665@389.99@382.1902@shadowpay@csdeals@61.49
★ Falchion Knife | Night (Minimal Wear)@164.71@156.4745@180.0@176.4@shadowpay@csdeals@11.69
★ StatTrak™ Gut Knife | Fade (Factory New)@306.11@290.8045@360.0@352.8@shadowpay@csdeals@46.69
★ Flip Knife | Ultraviolet (Minimal Wear)@297.53@282.65349999999995@315.0@308.7@shadowpay@csdeals@11.17
★ Bayonet | Crimson Web (Well-Worn)@348.08@330.676@400.0@392.0@shadowpay@csdeals@43.92
StatTrak™ AWP | Asiimov (Field-Tested)@291.21@276.6495@350.0@343.0@shadowpay@csdeals@51.79
AWP | Hyper Beast (Factory New)@89.21@84.74949999999998@109.12@106.9376@shadowpay@csdeals@17.73
ESL One Cologne 2014 Cobblestone Souvenir Package@1819.92@1728.924@2049.0@2008.02@shadowpay@csdeals@188.1
StatTrak™ P2000 | Ocean Foam (Factory New)@324.56@308.332@431.5@422.87@shadowpay@csdeals@98.31
★ Gut Knife | Fade (Factory New)@244.48@232.256@330.0@323.4@shadowpay@csdeals@78.92
★ Huntsman Knife | Crimson Web (Field-Tested)@212.69@202.0555@265.0@259.7@shadowpay@csdeals@47.01
★ Bayonet | Urban Masked (Minimal Wear)@278.86@264.917@299.99@293.9902@shadowpay@csdeals@15.13
★ Bayonet | Boreal Forest (Minimal Wear)@246.07@233.7665@279.99@274.3902@shadowpay@csdeals@28.32
★ Bayonet | Night (Field-Tested)@253.65@240.9675@299.99@293.9902@shadowpay@csdeals@40.34
★ StatTrak™ Flip Knife@385.13@365.8735@465.0@455.7@shadowpay@csdeals@70.57
AUG | Akihabara Accept (Field-Tested)@553.89@526.1954999999999@799.99@783.9902@shadowpay@csdeals@230.1
AK-47 | Vulcan (Factory New)@795.38@755.611@1150.0@1127.0@shadowpay@csdeals@331.62
★ Bayonet | Forest DDPAT (Field-Tested)@220.2@209.19@246.59@241.6582@shadowpay@csdeals@21.46
ESL One Katowice 2015 Cobblestone Souvenir Package@1542.22@1465.109@2099.0@2057.02@shadowpay@csdeals@514.8
Negev | Anodized Navy (Factory New)@462.62@439.489@525.21@514.7058000000001@shadowpay@csdeals@52.09
AWP | Lightning Strike (Factory New)@582.0@552.9@635.0@622.3@shadowpay@csdeals@40.3
StatTrak™ AK-47 | Redline (Field-Tested)@88.95@84.5025@4000.0@3920.0@shadowpay@csdeals@3831.05
M4A4 | Asiimov (Field-Tested)@172.49@163.8655@196.18@192.2564@shadowpay@csdeals@19.77
