name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
StatTrak™ USP-S | Overgrowth (Factory New)@230.0@218.5@1999.0@1759.12@shadowpay@skinport@1529.12
★ StatTrak™ Karambit | Case Hardened (Field-Tested)@1243.2@1181.04@1429.63@1258.0744000000002@shadowpay@skinport@14.87
★ StatTrak™ Falchion Knife | Case Hardened (Well-Worn)@313.77@298.08149999999995@1249.99@1099.9912@shadowpay@skinport@786.22
★ M9 Bayonet | Case Hardened (Battle-Scarred)@722.92@686.7739999999999@850.0@748.0@shadowpay@skinport@25.08
★ StatTrak™ Karambit | Safari Mesh (Battle-Scarred)@705.0@669.75@830.72@731.0336@shadowpay@skinport@26.03
★ Bayonet | Scorched (Minimal Wear)@271.14@257.583@350.46@308.4048@shadowpay@skinport@37.26
★ Bayonet | Stained (Minimal Wear)@302.01@286.9095@385.03@338.8264@shadowpay@skinport@36.82
★ Karambit | Safari Mesh (Battle-Scarred)@678.76@644.822@4000.0@3520.0@shadowpay@skinport@2841.24
★ StatTrak™ Gut Knife | Case Hardened (Field-Tested)@288.59@274.1605@350.0@308.0@shadowpay@skinport@19.41
★ Huntsman Knife | Case Hardened (Well-Worn)@266.68@253.346@332.4@292.512@shadowpay@skinport@25.83
★ Huntsman Knife | Case Hardened (Battle-Scarred)@310.0@294.5@648.66@570.8208@shadowpay@skinport@260.82
★ Flip Knife | Case Hardened (Well-Worn)@267.1@253.745@500.0@440.0@shadowpay@skinport@172.9
★ M9 Bayonet | Safari Mesh (Well-Worn)@574.92@546.174@813.72@716.0736@shadowpay@skinport@141.15
★ Gut Knife | Case Hardened (Minimal Wear)@232.18@220.571@299.32@263.4016@shadowpay@skinport@31.22
Souvenir Tec-9 | Red Quartz (Minimal Wear)@18.79@17.850499999999997@36.0@31.68@shadowpay@skinport@12.89
Souvenir CZ75-Auto | Chalice (Factory New)@148.97@141.5215@300.0@264.0@shadowpay@skinport@115.03
Souvenir M4A1-S | VariCamo (Factory New)@65.27@62.0065@89.99@79.1912@shadowpay@skinport@13.92
Souvenir M4A4 | Radiation Hazard (Minimal Wear)@140.67@133.63649999999998@199.99@175.99120000000002@shadowpay@skinport@35.32
P2000 | Ocean Foam (Minimal Wear)@160.05@152.0475@443.2@390.016@shadowpay@skinport@229.97
StatTrak™ M4A4 | Zirka (Well-Worn)@69.59@66.1105@515.35@453.508@shadowpay@skinport@383.92
Souvenir MAC-10 | Palm (Factory New)@41.32@39.254@79.9@70.31200000000001@shadowpay@skinport@28.99
Souvenir M4A1-S | VariCamo (Minimal Wear)@29.78@28.291@49.74@43.7712@shadowpay@skinport@13.99
StatTrak™ Galil AR | Chatterbox (Battle-Scarred)@39.66@37.67699999999999@7999.0@7039.12@shadowpay@skinport@6999.46
StatTrak™ USP-S | Dark Water (Field-Tested)@120.99@114.9405@167.74@147.6112@shadowpay@skinport@26.62
StatTrak™ SCAR-20 | Cyrex (Battle-Scarred)@69.0@65.55@89.99@79.1912@shadowpay@skinport@10.19
StatTrak™ P90 | Desert Warfare (Battle-Scarred)@21.45@20.3775@49.94@43.9472@shadowpay@skinport@22.5
Sticker | Chicken Strike@0.9@0.855@13.41@11.8008@shadowpay@skinport@10.9
StatTrak™ Sawed-Off | Orange DDPAT (Minimal Wear)@39.85@37.8575@58.38@51.3744@shadowpay@skinport@11.52
Sticker | Windy Walking Club@0.73@0.6935@17.92@15.769600000000002@shadowpay@skinport@15.04
StatTrak™ FAMAS | Djinn (Battle-Scarred)@5.93@5.6335@23.0@20.24@shadowpay@skinport@14.31
G3SG1 | Safari Mesh (Factory New)@14.22@13.509@50.0@44.0@shadowpay@skinport@29.78
Souvenir MP9 | Dark Age (Field-Tested)@18.42@17.499000000000002@39.99@35.1912@shadowpay@skinport@16.77
Souvenir Tec-9 | Brass (Field-Tested)@15.79@15.0005@29.77@26.1976@shadowpay@skinport@10.41
Souvenir SSG 08 | Blue Spruce (Minimal Wear)@132.43@125.8085@166.14@146.20319999999998@shadowpay@skinport@13.77
Souvenir AUG | Condemned (Field-Tested)@35.41@33.6395@63.04@55.4752@shadowpay@skinport@20.07
AK-47 | First Class (Battle-Scarred)@93.95@89.2525@175.57@154.5016@shadowpay@skinport@60.55
StatTrak™ USP-S | Stainless (Well-Worn)@21.42@20.349@115.38@101.5344@shadowpay@skinport@80.11
StatTrak™ MAC-10 | Curse (Battle-Scarred)@33.6@31.92@350.0@308.0@shadowpay@skinport@274.4
Souvenir Sawed-Off | Rust Coat (Factory New)@20.25@19.2375@96.95@85.316@shadowpay@skinport@65.07
Nova | Bloomstick (Minimal Wear)@16.29@15.475499999999998@40.81@35.912800000000004@shadowpay@skinport@19.62
Souvenir UMP-45 | Gunsmoke (Field-Tested)@28.52@27.094@300.0@264.0@shadowpay@skinport@235.48
USP-S | Overgrowth (Battle-Scarred)@30.77@29.2315@70.0@61.6@shadowpay@skinport@30.83
CZ75-Auto | Nitro (Minimal Wear)@11.99@11.3905@195.0@171.6@shadowpay@skinport@159.61
USP-S | Overgrowth (Well-Worn)@25.67@24.3865@435.0@382.8@shadowpay@skinport@357.13
FAMAS | Spitfire (Battle-Scarred)@11.98@11.381@29.98@26.3824@shadowpay@skinport@14.4
Souvenir MAG-7 | Sand Dune (Factory New)@16.08@15.275999999999998@38.92@34.2496@shadowpay@skinport@18.17
StatTrak™ SG 553 | Ultraviolet (Well-Worn)@30.01@28.5095@48.9@43.032@shadowpay@skinport@13.02
MP7 | Ocean Foam (Minimal Wear)@7.83@7.438499999999999@38.78@34.126400000000004@shadowpay@skinport@26.3
StatTrak™ SG 553 | Wave Spray (Well-Worn)@7.41@7.039499999999999@269.9@237.512@shadowpay@skinport@230.1
AUG | Colony (Factory New)@17.67@16.7865@35.0@30.8@shadowpay@skinport@13.13
StatTrak™ Five-SeveN | Nightshade (Well-Worn)@22.73@21.5935@250.0@220.0@shadowpay@skinport@197.27
StatTrak™ Desert Eagle | Bronze Deco (Battle-Scarred)@5.15@4.8925@30.47@26.8136@shadowpay@skinport@21.66
Souvenir AUG | Contractor (Battle-Scarred)@20.0@19.0@66.0@58.08@shadowpay@skinport@38.08
P90 | Fallout Warning (Minimal Wear)@21.38@20.311@1588.88@1398.2144@shadowpay@skinport@1376.83
G3SG1 | Contractor (Factory New)@13.72@13.034@59.99@52.7912@shadowpay@skinport@39.07
