name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Aces High Pin@7.2@6.336@21.0@20.58@skinport@csdeals@13.38
AK-47 | Asiimov (Factory New)@172.97@152.2136@229.99@225.3902@skinport@csdeals@52.42
AK-47 | Asiimov (Minimal Wear)@50.0@44.0@74.95@73.45100000000001@skinport@csdeals@23.45
AK-47 | Blue Laminate (Factory New)@15.43@13.5784@27.0@26.46@skinport@csdeals@11.03
AK-47 | Blue Laminate (Field-Tested)@12.9@11.352@24.99@24.4902@skinport@csdeals@11.59
AK-47 | Blue Laminate (Minimal Wear)@14.0@12.32@500.0@490.0@skinport@csdeals@476.0
AK-47 | Case Hardened (Battle-Scarred)@161.75@142.34@208.22@204.0556@skinport@csdeals@42.31
AK-47 | Case Hardened (Field-Tested)@210.0@184.8@266.09@260.7682@skinport@csdeals@50.77
AK-47 | Fire Serpent (Minimal Wear)@1141.32@1004.3616@1799.99@1763.9902@skinport@csdeals@622.67
AK-47 | Fire Serpent (Well-Worn)@777.72@684.3936@899.99@881.9902@skinport@csdeals@104.27
AK-47 | Frontside Misty (Well-Worn)@14.91@13.1208@35.0@34.3@skinport@csdeals@19.39
AK-47 | Fuel Injector (Battle-Scarred)@139.0@122.32@155.0@151.9@skinport@csdeals@12.9
AK-47 | Fuel Injector (Factory New)@400.0@352.0@499.99@489.9902@skinport@csdeals@89.99
AK-47 | Fuel Injector (Field-Tested)@183.07@161.1016@227.72@223.1656@skinport@csdeals@40.1
AK-47 | Fuel Injector (Minimal Wear)@225.64@198.5632@269.99@264.5902@skinport@csdeals@38.95
AK-47 | Head Shot (Field-Tested)@7.86@6.9168@71.07@69.64859999999999@skinport@csdeals@61.79
AK-47 | Ice Coaled (Battle-Scarred)@3.9@3.432@37.77@37.0146@skinport@csdeals@33.11
AK-47 | Legion of Anubis (Battle-Scarred)@4.77@4.1976@15.34@15.0332@skinport@csdeals@10.26
AK-47 | Neon Revolution (Field-Tested)@18.99@16.711199999999998@55.0@53.9@skinport@csdeals@34.91
AK-47 | Neon Rider (Minimal Wear)@74.27@65.35759999999999@101.92@99.8816@skinport@csdeals@25.61
AK-47 | Nightwish (Factory New)@44.41@39.0808@77.47@75.9206@skinport@csdeals@31.51
AK-47 | Phantom Disruptor (Battle-Scarred)@3.44@3.0272@14.0@13.72@skinport@csdeals@10.28
AK-47 | Slate (Well-Worn)@2.79@2.4552@19.99@19.5902@skinport@csdeals@16.8
AK-47 | The Empress (Field-Tested)@35.12@30.9056@49.99@48.9902@skinport@csdeals@13.87
AK-47 | Vulcan (Factory New)@736.76@648.3488@1150.0@1127.0@skinport@csdeals@390.24
AK-47 | Vulcan (Well-Worn)@159.09@139.9992@185.0@181.3@skinport@csdeals@22.21
Antwerp 2022 Inferno Souvenir Package@2.67@2.3496@25.0@24.5@skinport@csdeals@21.83
Atlanta 2017 Cobblestone Souvenir Package@1300.0@1144.0@2099.0@2057.02@skinport@csdeals@757.02
AUG | Akihabara Accept (Field-Tested)@575.0@506.0@799.99@783.9902@skinport@csdeals@208.99
AUG | Akihabara Accept (Minimal Wear)@1267.78@1115.6464@1429.68@1401.0864@skinport@csdeals@133.31
AUG | Aristocrat (Factory New)@2.3@2.024@17.0@16.66@skinport@csdeals@14.36
AUG | Midnight Lily (Factory New)@389.63@342.8744@449.99@440.9902@skinport@csdeals@51.36
AUG | Midnight Lily (Minimal Wear)@340.76@299.8688@500.0@490.0@skinport@csdeals@149.24
AUG | Sand Storm (Factory New)@55.26@48.6288@66.99@65.6502@skinport@csdeals@10.39
Autograph Capsule | Challengers (Foil) | Atlanta 2017@72.73@64.00240000000001@90.97@89.1506@skinport@csdeals@16.42
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016@37.94@33.3872@70.0@68.6@skinport@csdeals@30.66
Autograph Capsule | Gambit Gaming | Atlanta 2017@4.82@4.2416@16.0@15.68@skinport@csdeals@10.86
Autograph Capsule | Legends (Foil) | Atlanta 2017@68.45@60.236@100.0@98.0@skinport@csdeals@29.55
Autograph Capsule | Legends (Foil) | Cologne 2016@38.55@33.924@51.96@50.9208@skinport@csdeals@12.37
Autograph Capsule | Legends (Foil) | MLG Columbus 2016@27.63@24.3144@70.0@68.6@skinport@csdeals@40.97
Autograph Capsule | Renegades | Cologne 2015@10.49@9.2312@22.0@21.56@skinport@csdeals@11.07
Autograph Capsule | Team EnVyUs | Atlanta 2017@12.38@10.8944@24.0@23.52@skinport@csdeals@11.14
AWP | Asiimov (Battle-Scarred)@72.03@63.3864@119.99@117.5902@skinport@csdeals@45.56
AWP | Asiimov (Field-Tested)@129.09@113.5992@150.0@147.0@skinport@csdeals@17.91
AWP | Asiimov (Well-Worn)@94.93@83.53840000000001@116.99@114.6502@skinport@csdeals@19.72
AWP | Atheris (Well-Worn)@2.96@2.6048@24.99@24.4902@skinport@csdeals@21.53
AWP | Chrome Cannon (Field-Tested)@33.0@29.04@54.0@52.92@skinport@csdeals@19.92
AWP | Chrome Cannon (Minimal Wear)@57.49@50.5912@99.0@97.02@skinport@csdeals@39.53
AWP | Containment Breach (Factory New)@267.05@235.004@475.0@465.5@skinport@csdeals@198.45
AWP | Containment Breach (Minimal Wear)@127.07@111.8216@152.86@149.80280000000002@skinport@csdeals@22.73
AWP | Containment Breach (Well-Worn)@56.82@50.0016@69.99@68.5902@skinport@csdeals@11.77
AWP | Desert Hydra (Factory New)@2190.0@1927.2@4200.0@4116.0@skinport@csdeals@1926.0
AWP | Dragon Lore (Minimal Wear)@9250.0@8140.0@11999.99@11759.9902@skinport@csdeals@2509.99
AWP | Electric Hive (Factory New)@42.0@36.96@80.0@78.4@skinport@csdeals@36.4
AWP | Electric Hive (Minimal Wear)@31.82@28.0016@43.72@42.8456@skinport@csdeals@11.03
AWP | Exoskeleton (Battle-Scarred)@3.61@3.1768@20.0@19.6@skinport@csdeals@15.99
AWP | Fade (Factory New)@810.0@712.8@1168.7@1145.326@skinport@csdeals@335.33
AWP | Graphite (Factory New)@135.43@119.1784@169.99@166.5902@skinport@csdeals@31.16
AWP | Graphite (Minimal Wear)@126.11@110.9768@155.95@152.831@skinport@csdeals@26.72
AWP | Hyper Beast (Factory New)@73.0@64.24@109.12@106.9376@skinport@csdeals@33.94
AWP | Hyper Beast (Minimal Wear)@39.72@34.9536@51.0@49.98@skinport@csdeals@10.26
AWP | Lightning Strike (Factory New)@497.32@437.6416@635.0@622.3@skinport@csdeals@124.98
AWP | Medusa (Field-Tested)@1850.0@1628.0@2299.99@2253.9902@skinport@csdeals@403.99
AWP | Oni Taiji (Factory New)@414.43@364.6984@599.99@587.9902@skinport@csdeals@173.56
AWP | Oni Taiji (Field-Tested)@208.61@183.5768@349.99@342.9902@skinport@csdeals@134.38
AWP | Oni Taiji (Minimal Wear)@315.0@277.2@439.99@431.1902@skinport@csdeals@116.19
AWP | Oni Taiji (Well-Worn)@149.21@131.3048@239.99@235.1902@skinport@csdeals@85.98
AWP | Phobos (Factory New)@2.38@2.0944@13.0@12.74@skinport@csdeals@10.36
AWP | Redline (Field-Tested)@40.12@35.3056@51.55@50.519@skinport@csdeals@10.4
AWP | Wildfire (Field-Tested)@47.43@41.7384@66.06@64.7388@skinport@csdeals@17.31
★ Bayonet | Autotronic (Factory New)@848.12@746.3456@939.0@920.22@skinport@csdeals@72.1
★ Bayonet | Autotronic (Field-Tested)@418.62@368.3856@599.99@587.9902@skinport@csdeals@169.37
★ Bayonet | Black Laminate (Minimal Wear)@333.68@293.6384@449.99@440.9902@skinport@csdeals@107.31
★ Bayonet | Boreal Forest (Minimal Wear)@237.66@209.1408@279.99@274.3902@skinport@csdeals@36.73
★ Bayonet | Case Hardened (Well-Worn)@333.14@293.1632@355.09@347.98819999999995@skinport@csdeals@14.85
★ Bayonet | Crimson Web (Field-Tested)@278.99@245.5112@330.0@323.4@skinport@csdeals@44.41
★ Bayonet | Crimson Web (Minimal Wear)@465.0@409.2@590.0@578.2@skinport@csdeals@113.2
★ Bayonet | Crimson Web (Well-Worn)@304.26@267.7488@400.0@392.0@skinport@csdeals@87.74
★ Bayonet | Damascus Steel (Field-Tested)@293.34@258.1392@389.99@382.1902@skinport@csdeals@88.85
