name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Aquamarine Revenge (Factory New)@114.94@101.1472@134.45@127.72749999999998@skinport@shadowpay@12.79
AK-47 | Asiimov (Factory New)@164.09@144.3992@198.9@188.955@skinport@shadowpay@24.87
AK-47 | Black Laminate (Factory New)@163.37@143.7656@235.51@223.7345@skinport@shadowpay@60.36
AK-47 | Black Laminate (Well-Worn)@37.35@32.868@58.16@55.252@skinport@shadowpay@17.9
AK-47 | Bloodsport (Factory New)@173.44@152.6272@202.81@192.6695@skinport@shadowpay@19.23
AK-47 | Bloodsport (Field-Tested)@140.0@123.2@165.51@157.2345@skinport@shadowpay@17.23
AK-47 | Bloodsport (Minimal Wear)@153.05@134.684@178.94@169.993@skinport@shadowpay@16.94
AK-47 | B the Monster (Field-Tested)@193.4@170.192@215.61@204.8295@skinport@shadowpay@11.43
AK-47 | B the Monster (Minimal Wear)@333.58@293.5504@361.99@343.8905@skinport@shadowpay@10.31
AK-47 | Case Hardened (Factory New)@327.87@288.5256@368.25@349.8375@skinport@shadowpay@21.97
AK-47 | Case Hardened (Field-Tested)@215.0@189.2@240.03@228.0285@skinport@shadowpay@13.03
AK-47 | Case Hardened (Minimal Wear)@245.98@216.4624@276.42@262.599@skinport@shadowpay@16.62
AK-47 | Case Hardened (Well-Worn)@175.64@154.5632@210.74@200.203@skinport@shadowpay@24.56
AK-47 | Fire Serpent (Factory New)@2274.41@2001.4808@2440.41@2318.3895@skinport@shadowpay@43.98
AK-47 | Fire Serpent (Field-Tested)@740.47@651.6136@859.83@816.8385@skinport@shadowpay@76.37
AK-47 | Fire Serpent (Minimal Wear)@1097.17@965.5096@1346.76@1279.422@skinport@shadowpay@182.25
AK-47 | First Class (Factory New)@139.18@122.4784@166.99@158.6405@skinport@shadowpay@19.46
AK-47 | First Class (Minimal Wear)@120.74@106.2512@154.28@146.566@skinport@shadowpay@25.83
AK-47 | Fuel Injector (Battle-Scarred)@139.0@122.32@159.59@151.6105@skinport@shadowpay@12.61
AK-47 | Fuel Injector (Factory New)@359.93@316.7384@422.24@401.128@skinport@shadowpay@41.2
AK-47 | Fuel Injector (Field-Tested)@199.0@175.12@221.66@210.577@skinport@shadowpay@11.58
AK-47 | Fuel Injector (Minimal Wear)@232.0@204.16@272.25@258.6375@skinport@shadowpay@26.64
AK-47 | Fuel Injector (Well-Worn)@145.5@128.04@172.68@164.046@skinport@shadowpay@18.55
AK-47 | Gold Arabesque (Battle-Scarred)@1567.4@1379.312@1822.24@1731.128@skinport@shadowpay@163.73
AK-47 | Gold Arabesque (Field-Tested)@2179.15@1917.652@2399.84@2279.848@skinport@shadowpay@100.7
AK-47 | Gold Arabesque (Minimal Wear)@2750.0@2420.0@2986.76@2837.422@skinport@shadowpay@87.42
AK-47 | Hydroponic (Minimal Wear)@1600.0@1408.0@1830.0@1738.5@skinport@shadowpay@138.5
AK-47 | Jaguar (Factory New)@197.79@174.0552@227.99@216.5905@skinport@shadowpay@18.8
AK-47 | Jaguar (Field-Tested)@76.85@67.628@94.81@90.0695@skinport@shadowpay@13.22
AK-47 | Jaguar (Minimal Wear)@114.28@100.5664@137.48@130.606@skinport@shadowpay@16.33
AK-47 | Jet Set (Battle-Scarred)@251.2@221.056@420.0@399.0@skinport@shadowpay@147.8
AK-47 | Jet Set (Factory New)@839.08@738.3904@999.83@949.8385@skinport@shadowpay@110.76
AK-47 | Jet Set (Field-Tested)@330.0@290.4@364.57@346.3415@skinport@shadowpay@16.34
AK-47 | Jet Set (Minimal Wear)@408.96@359.8848@486.55@462.2225@skinport@shadowpay@53.26
AK-47 | Jet Set (Well-Worn)@255.05@224.444@305.66@290.377@skinport@shadowpay@35.33
AK-47 | Neon Rider (Factory New)@130.0@114.4@163.85@155.6575@skinport@shadowpay@25.66
AK-47 | Neon Rider (Minimal Wear)@74.27@65.35759999999999@91.17@86.61149999999999@skinport@shadowpay@12.34
AK-47 | Neon Rider (Well-Worn)@41.76@36.7488@57.32@54.454@skinport@shadowpay@12.69
AK-47 | Nouveau Rouge (Field-Tested)@100.0@88.0@225.18@213.921@skinport@shadowpay@113.92
AK-47 | Panthera onca (Factory New)@265.62@233.7456@322.5@306.375@skinport@shadowpay@40.75
AK-47 | Panthera onca (Field-Tested)@194.6@171.248@227.2@215.84@skinport@shadowpay@21.24
AK-47 | Panthera onca (Minimal Wear)@220.0@193.6@289.11@274.6545@skinport@shadowpay@54.65
AK-47 | Red Laminate (Factory New)@331.7@291.896@449.85@427.3575@skinport@shadowpay@95.66
AK-47 | Redline (Minimal Wear)@145.55@128.084@180.0@171.0@skinport@shadowpay@25.45
AK-47 | The Empress (Factory New)@140.0@123.2@175.32@166.55399999999997@skinport@shadowpay@26.55
AK-47 | Vulcan (Battle-Scarred)@142.83@125.6904@166.7@158.36499999999998@skinport@shadowpay@15.53
AK-47 | Vulcan (Field-Tested)@219.5@193.16@265.12@251.864@skinport@shadowpay@32.36
AK-47 | Vulcan (Minimal Wear)@469.0@412.72@534.29@507.5754999999999@skinport@shadowpay@38.58
AK-47 | Wasteland Rebel (Factory New)@205.0@180.4@249.14@236.683@skinport@shadowpay@31.68
AK-47 | Wasteland Rebel (Well-Worn)@42.99@37.8312@79.85@75.85749999999999@skinport@shadowpay@32.87
AK-47 | Wild Lotus (Minimal Wear)@11123.94@9789.0672@13029.0@12377.55@skinport@shadowpay@1253.61
AK-47 | X-Ray (Battle-Scarred)@315.44@277.5872@374.26@355.547@skinport@shadowpay@40.11
AK-47 | X-Ray (Well-Worn)@450.0@396.0@551.61@524.0295@skinport@shadowpay@74.03
