name@price@price_after_sell
AK-47 | Aquamarine Revenge (Field-Tested)@33.84@33.1632
AK-47 | Aquamarine Revenge (Minimal Wear)@55.00@53.9
AK-47 | Black Laminate (Minimal Wear)@39.99@39.190200000000004
AK-47 | Blue Laminate (Factory New)@10.12@9.917599999999998
AK-47 | Blue Laminate (Field-Tested)@10.99@10.7702
AK-47 | Blue Laminate (Minimal Wear)@28.95@28.371
AK-47 | Cartel (Factory New)@32.79@32.1342
AK-47 | Cartel (Field-Tested)@9.00@8.82
AK-47 | Cartel (Minimal Wear)@10.99@10.7702
AK-47 | Case Hardened (Field-Tested)@389.66@381.8668
AK-47 | Case Hardened (Well-Worn)@184.90@181.202
AK-47 | Elite Build (Battle-Scarred)@0.85@0.833
AK-47 | Elite Build (Factory New)@27.00@26.46
AK-47 | Elite Build (Field-Tested)@0.94@0.9211999999999999
AK-47 | Elite Build (Minimal Wear)@1.35@1.323
AK-47 | Elite Build (Well-Worn)@0.69@0.6761999999999999
AK-47 | Emerald Pinstripe (Field-Tested)@6.24@6.1152
AK-47 | Emerald Pinstripe (Minimal Wear)@9.37@9.182599999999999
AK-47 | Emerald Pinstripe (Well-Worn)@6.50@6.37
AK-47 | Fire Serpent (Battle-Scarred)@744.90@730.002
AK-47 | Frontside Misty (Battle-Scarred)@9.93@9.731399999999999
AK-47 | Frontside Misty (Field-Tested)@25.00@24.5
AK-47 | Frontside Misty (Well-Worn)@38.00@37.24
AK-47 | Fuel Injector (Battle-Scarred)@109.90@107.702
AK-47 | Fuel Injector (Field-Tested)@190.00@186.2
AK-47 | Fuel Injector (Minimal Wear)@289.99@284.1902
AK-47 | Fuel Injector (Well-Worn)@110.00@107.8
AK-47 | Jaguar (Minimal Wear)@52.33@51.2834
AK-47 | Neon Revolution (Factory New)@59.99@58.7902
AK-47 | Neon Revolution (Field-Tested)@30.00@29.4
AK-47 | Neon Revolution (Minimal Wear)@35.00@34.3
AK-47 | Point Disarray (Battle-Scarred)@8.99@8.8102
AK-47 | Point Disarray (Factory New)@26.99@26.4502
AK-47 | Point Disarray (Field-Tested)@8.19@8.0262
AK-47 | Point Disarray (Minimal Wear)@13.01@12.749799999999999
AK-47 | Point Disarray (Well-Worn)@12.13@11.887400000000001
AK-47 | Predator (Factory New)@68.00@66.64
AK-47 | Red Laminate (Field-Tested)@50.09@49.0882
AK-47 | Red Laminate (Minimal Wear)@59.00@57.82
AK-47 | Redline (Field-Tested)@17.04@16.699199999999998
AK-47 | Redline (Minimal Wear)@80.17@78.5666
AK-47 | Safari Mesh (Battle-Scarred)@0.18@0.1764
AK-47 | Safari Mesh (Factory New)@5.99@5.8702000000000005
AK-47 | Safari Mesh (Field-Tested)@0.17@0.1666
AK-47 | Safari Mesh (Minimal Wear)@0.72@0.7056
AK-47 | Safari Mesh (Well-Worn)@0.25@0.245
AK-47 | Vulcan (Factory New)@1075.07@1053.5685999999998
AK-47 | Vulcan (Minimal Wear)@489.90@480.102
AK-47 | Wasteland Rebel (Field-Tested)@44.53@43.6394
AK-47 | Wasteland Rebel (Minimal Wear)@37.55@36.799
AUG | Aristocrat (Battle-Scarred)@1.00@0.98
AUG | Aristocrat (Factory New)@17.00@16.66
AUG | Aristocrat (Field-Tested)@1.30@1.274
AUG | Aristocrat (Minimal Wear)@1.06@1.0388
AUG | Aristocrat (Well-Worn)@1.90@1.8619999999999999
AUG | Chameleon (Factory New)@24.00@23.52
AUG | Chameleon (Field-Tested)@3.50@3.4299999999999997
AUG | Chameleon (Minimal Wear)@4.26@4.174799999999999
AUG | Condemned (Factory New)@1.90@1.8619999999999999
AUG | Condemned (Field-Tested)@0.30@0.294
AUG | Condemned (Minimal Wear)@0.40@0.392
AUG | Daedalus (Factory New)@22.00@21.56
AUG | Fleet Flock (Field-Tested)@2.50@2.45
AUG | Fleet Flock (Well-Worn)@3.50@3.4299999999999997
AUG | Radiation Hazard (Factory New)@3.00@2.94
AUG | Radiation Hazard (Minimal Wear)@3.00@2.94
AUG | Ricochet (Factory New)@7.00@6.859999999999999
AUG | Syd Mead (Field-Tested)@1.32@1.2936
AUG | Torque (Field-Tested)@6.03@5.9094
AUG | Wings (Factory New)@30.00@29.4
AWP | Asiimov (Battle-Scarred)@79.00@77.42
AWP | Asiimov (Field-Tested)@149.99@146.99020000000002
AWP | Asiimov (Well-Worn)@110.00@107.8
AWP | BOOM (Field-Tested)@99.90@97.902
AWP | Corticera (Field-Tested)@12.00@11.76
AWP | Corticera (Minimal Wear)@16.99@16.650199999999998
AWP | Electric Hive (Factory New)@80.00@78.4
AWP | Electric Hive (Minimal Wear)@38.10@37.338
AWP | Elite Build (Battle-Scarred)@11.78@11.5444
AWP | Elite Build (Field-Tested)@15.60@15.288
AWP | Elite Build (Minimal Wear)@20.99@20.5702
AWP | Graphite (Factory New)@225.00@220.5
AWP | Hyper Beast (Field-Tested)@32.00@31.36
AWP | Hyper Beast (Minimal Wear)@55.00@53.9
AWP | Hyper Beast (Well-Worn)@24.99@24.490199999999998
AWP | Lightning Strike (Factory New)@600.00@588.0
AWP | Man-o'-war (Minimal Wear)@35.00@34.3
AWP | Phobos (Factory New)@2.73@2.6754
AWP | Phobos (Field-Tested)@0.85@0.833
AWP | Phobos (Minimal Wear)@0.95@0.9309999999999999
AWP | Pit Viper (Battle-Scarred)@1.90@1.8619999999999999
AWP | Pit Viper (Field-Tested)@0.35@0.34299999999999997
AWP | Pit Viper (Minimal Wear)@0.60@0.588
AWP | Pit Viper (Well-Worn)@0.85@0.833
AWP | Redline (Field-Tested)@38.97@38.190599999999996
AWP | Redline (Minimal Wear)@65.00@63.699999999999996
AWP | Safari Mesh (Battle-Scarred)@0.59@0.5781999999999999
AWP | Safari Mesh (Factory New)@4.49@4.4002
AWP | Safari Mesh (Field-Tested)@0.28@0.27440000000000003
AWP | Safari Mesh (Minimal Wear)@0.59@0.5781999999999999
AWP | Snake Camo (Minimal Wear)@144.73@141.8354
AWP | Sun in Leo (Factory New)@28.44@27.8712
AWP | Sun in Leo (Field-Tested)@12.00@11.76
AWP | Sun in Leo (Minimal Wear)@22.99@22.530199999999997
AWP | Worm God (Factory New)@3.05@2.989
AWP | Worm God (Field-Tested)@1.50@1.47
AWP | Worm God (Minimal Wear)@1.26@1.2348
AWP | Worm God (Well-Worn)@4.00@3.92
Atlanta 2017 Cobblestone Souvenir Package@2672.00@2618.56
