name@price@price_after_sell
'Blueberries' Buckshot | NSWC SEAL@4.11@3.9045
'Medium Rare' Crasswater | Guerrilla Warfare@9.60@9.12
'The Doctor' Romanov | Sabre@4.89@4.645499999999999
'Two Times' McCoy | TACP Cavalry@2.25@2.1374999999999997
'Two Times' McCoy | USAF TACP@2.02@1.9189999999999998
★ Bayonet@929.00@882.55
★ Bayonet | Autotronic (Battle-Scarred)@580.69@551.6555000000001
★ Bayonet | Autotronic (Factory New)@1300.00@1235.0
★ Bayonet | Autotronic (Field-Tested)@663.93@630.7334999999999
★ Bayonet | Autotronic (Minimal Wear)@756.91@719.0645
★ Bayonet | Autotronic (Well-Worn)@666.94@633.5930000000001
★ Bayonet | Black Laminate (Battle-Scarred)@494.12@469.414
★ Bayonet | Black Laminate (Factory New)@683.99@649.7905
★ Bayonet | Black Laminate (Field-Tested)@471.88@448.286
★ Bayonet | Black Laminate (Well-Worn)@413.07@392.4165
★ Bayonet | Blue Steel (Field-Tested)@400.00@380.0
★ Bayonet | Blue Steel (Minimal Wear)@400.00@380.0
★ Bayonet | Blue Steel (Well-Worn)@430.00@408.5
★ Bayonet | Boreal Forest (Battle-Scarred)@295.76@280.972
★ Bayonet | Boreal Forest (Field-Tested)@224.57@213.3415
★ Bayonet | Boreal Forest (Minimal Wear)@536.87@510.0265
★ Bayonet | Boreal Forest (Well-Worn)@302.00@286.9
★ Bayonet | Bright Water (Battle-Scarred)@365.00@346.75
★ Bayonet | Bright Water (Factory New)@455.00@432.25
★ Bayonet | Bright Water (Field-Tested)@350.00@332.5
★ Bayonet | Bright Water (Minimal Wear)@375.39@356.6205
★ Bayonet | Bright Water (Well-Worn)@388.00@368.59999999999997
★ Bayonet | Case Hardened (Battle-Scarred)@391.99@372.3905
★ Bayonet | Case Hardened (Field-Tested)@459.87@436.87649999999996
★ Bayonet | Case Hardened (Minimal Wear)@580.00@551.0
★ Bayonet | Crimson Web (Battle-Scarred)@673.28@639.616
★ Bayonet | Crimson Web (Field-Tested)@567.00@538.65
★ Bayonet | Crimson Web (Minimal Wear)@638.06@606.1569999999999
★ Bayonet | Damascus Steel (Battle-Scarred)@375.00@356.25
★ Bayonet | Damascus Steel (Factory New)@474.99@451.2405
★ Bayonet | Damascus Steel (Field-Tested)@348.99@331.5405
★ Bayonet | Damascus Steel (Minimal Wear)@467.64@444.258
★ Bayonet | Doppler (Factory New)@658.59@625.6605
★ Bayonet | Doppler (Minimal Wear)@699.00@664.05
★ Bayonet | Fade (Factory New)@1299.51@1234.5345
★ Bayonet | Fade (Minimal Wear)@1444.26@1372.047
★ Bayonet | Forest DDPAT (Battle-Scarred)@285.00@270.75
★ Bayonet | Forest DDPAT (Field-Tested)@220.00@209.0
★ Bayonet | Forest DDPAT (Well-Worn)@310.00@294.5
★ Bayonet | Freehand (Battle-Scarred)@340.52@323.49399999999997
★ Bayonet | Freehand (Factory New)@496.89@472.04549999999995
