name@price@price_after_sell
10 Year Birthday Sticker Capsule@1.1@0.9680000000000001
1st Lieutenant Farlow | SWAT@3.38@2.9743999999999997
2020 RMR Challengers@0.33@0.2904
2020 RMR Contenders@0.33@0.2904
2020 RMR Legends@0.31@0.2728
2021 Community Sticker Capsule@@
3rd Commando Company | KSK@3.79@3.3352
Aces High Pin@8.79@7.735199999999999
AK-47 | Aquamarine Revenge (Battle-Scarred)@16.69@14.6872
AK-47 | Aquamarine Revenge (Factory New)@94.58@83.2304
AK-47 | Aquamarine Revenge (Field-Tested)@27.11@23.8568
AK-47 | Aquamarine Revenge (Minimal Wear)@47.0@41.36
AK-47 | Aquamarine Revenge (Well-Worn)@17.81@15.672799999999999
AK-47 | Asiimov (Battle-Scarred)@20.25@17.82
AK-47 | Asiimov (Factory New)@183.63@161.5944
AK-47 | Asiimov (Field-Tested)@27.14@23.883200000000002
AK-47 | Asiimov (Minimal Wear)@41.92@36.8896
AK-47 | Asiimov (Well-Worn)@31.22@27.473599999999998
AK-47 | Baroque Purple (Battle-Scarred)@4.05@3.564
AK-47 | Baroque Purple (Factory New)@16.65@14.652
AK-47 | Baroque Purple (Field-Tested)@4.11@3.6168000000000005
AK-47 | Baroque Purple (Minimal Wear)@6.34@5.5792
AK-47 | Baroque Purple (Well-Worn)@4.0@3.52
AK-47 | Black Laminate (Battle-Scarred)@36.36@31.9968
AK-47 | Black Laminate (Factory New)@194.76@171.3888
AK-47 | Black Laminate (Field-Tested)@35.61@31.3368
AK-47 | Black Laminate (Minimal Wear)@43.4@38.192
AK-47 | Black Laminate (Well-Worn)@1899.0@1671.1200000000001
AK-47 | Bloodsport (Factory New)@109.94@96.74719999999999
AK-47 | Bloodsport (Field-Tested)@76.78@67.5664
AK-47 | Bloodsport (Minimal Wear)@83.64@73.6032
AK-47 | Bloodsport (Well-Worn)@75.0@66.0
AK-47 | Blue Laminate (Factory New)@12.42@10.9296
AK-47 | Blue Laminate (Field-Tested)@7.6@6.688
AK-47 | Blue Laminate (Minimal Wear)@9.37@8.2456
AK-47 | Blue Laminate (Well-Worn)@15.55@13.684000000000001
AK-47 | Cartel (Battle-Scarred)@5.63@4.9544
AK-47 | Cartel (Factory New)@22.02@19.3776
AK-47 | Cartel (Field-Tested)@6.43@5.658399999999999
AK-47 | Cartel (Minimal Wear)@9.86@8.6768
AK-47 | Cartel (Well-Worn)@9.26@8.1488
AK-47 | Case Hardened (Battle-Scarred)@160.62@141.34560000000002
AK-47 | Case Hardened (Factory New)@367.24@323.1712
AK-47 | Case Hardened (Field-Tested)@229.24@201.7312
AK-47 | Case Hardened (Minimal Wear)@252.93@222.57840000000002
AK-47 | Case Hardened (Well-Worn)@177.73@156.4024
AK-47 | Elite Build (Battle-Scarred)@0.65@0.5720000000000001
AK-47 | Elite Build (Factory New)@4.3@3.784
AK-47 | Elite Build (Field-Tested)@0.9@0.792
AK-47 | Elite Build (Minimal Wear)@1.65@1.452
AK-47 | Elite Build (Well-Worn)@0.68@0.5984
AK-47 | Emerald Pinstripe (Battle-Scarred)@4.64@4.0832
AK-47 | Emerald Pinstripe (Factory New)@20.87@18.3656
AK-47 | Emerald Pinstripe (Field-Tested)@5.73@5.042400000000001
AK-47 | Emerald Pinstripe (Minimal Wear)@8.65@7.612
AK-47 | Emerald Pinstripe (Well-Worn)@5.15@4.532
AK-47 | Fire Serpent (Battle-Scarred)@541.88@476.8544
AK-47 | Fire Serpent (Factory New)@@
AK-47 | Fire Serpent (Field-Tested)@938.17@825.5896
AK-47 | Fire Serpent (Minimal Wear)@1417.38@1247.2944
AK-47 | Fire Serpent (Well-Worn)@823.53@724.7064
AK-47 | First Class (Battle-Scarred)@55.09@48.479200000000006
AK-47 | First Class (Factory New)@@
AK-47 | First Class (Field-Tested)@77.89@68.5432
AK-47 | First Class (Minimal Wear)@@
AK-47 | First Class (Well-Worn)@@
AK-47 | Frontside Misty (Battle-Scarred)@9.78@8.606399999999999
AK-47 | Frontside Misty (Factory New)@55.3@48.663999999999994
AK-47 | Frontside Misty (Field-Tested)@12.92@11.3696
AK-47 | Frontside Misty (Minimal Wear)@20.62@18.1456
AK-47 | Frontside Misty (Well-Worn)@12.19@10.7272
AK-47 | Fuel Injector (Battle-Scarred)@79.25@69.74
AK-47 | Fuel Injector (Factory New)@438.77@386.1176
AK-47 | Fuel Injector (Field-Tested)@147.04@129.3952
AK-47 | Fuel Injector (Minimal Wear)@221.47@194.8936
AK-47 | Fuel Injector (Well-Worn)@99.9@87.912
AK-47 | Gold Arabesque (Battle-Scarred)@2324.83@2045.8504
AK-47 | Gold Arabesque (Factory New)@6120.9@5386.392
AK-47 | Gold Arabesque (Field-Tested)@2781.99@2448.1512
