name@price@price_after_sell
'Blueberries' Buckshot | NSWC SEAL@3.03@2.8785
'The Doctor' Romanov | Sabre@3.66@3.477
'Two Times' McCoy | TACP Cavalry@1.49@1.4155
'Two Times' McCoy | USAF TACP@1.44@1.3679999999999999
10 Year Birthday Sticker Capsule@0.63@0.5984999999999999
1st Lieutenant Farlow | SWAT@2.79@2.6505
2020 RMR Contenders@0.51@0.4845
2021 Community Sticker Capsule@2.0@1.9
3rd Commando Company | KSK@2.62@2.489
AK-47 | Aquamarine Revenge (Field-Tested)@23.13@21.973499999999998
AK-47 | Asiimov (Field-Tested)@23.54@22.363
AK-47 | Asiimov (Minimal Wear)@39.33@37.363499999999995
AK-47 | Asiimov (Well-Worn)@22.18@21.070999999999998
AK-47 | Baroque Purple (Battle-Scarred)@2.96@2.812
AK-47 | Baroque Purple (Field-Tested)@3.18@3.021
AK-47 | Baroque Purple (Minimal Wear)@3.83@3.6385
AK-47 | Baroque Purple (Well-Worn)@3.08@2.9259999999999997
AK-47 | Bloodsport (Minimal Wear)@75.06@71.307
AK-47 | Blue Laminate (Minimal Wear)@17.86@16.967
AK-47 | Cartel (Field-Tested)@4.92@4.6739999999999995
AK-47 | Elite Build (Battle-Scarred)@0.55@0.5225
AK-47 | Elite Build (Factory New)@3.53@3.3534999999999995
AK-47 | Elite Build (Field-Tested)@0.76@0.722
AK-47 | Elite Build (Minimal Wear)@1.21@1.1495
AK-47 | Elite Build (Well-Worn)@0.57@0.5415
AK-47 | Emerald Pinstripe (Battle-Scarred)@4.06@3.8569999999999993
AK-47 | Emerald Pinstripe (Field-Tested)@4.94@4.6930000000000005
AK-47 | Emerald Pinstripe (Well-Worn)@14.87@14.126499999999998
AK-47 | Frontside Misty (Battle-Scarred)@8.18@7.770999999999999
AK-47 | Frontside Misty (Minimal Wear)@17.03@16.1785
AK-47 | Frontside Misty (Well-Worn)@9.22@8.759
AK-47 | Fuel Injector (Minimal Wear)@195.19@185.4305
AK-47 | Green Laminate (Factory New)@12.81@12.1695
AK-47 | Head Shot (Well-Worn)@18.1@17.195
AK-47 | Ice Coaled (Field-Tested)@6.64@6.308
AK-47 | Ice Coaled (Minimal Wear)@11.87@11.276499999999999
AK-47 | Ice Coaled (Well-Worn)@6.61@6.2795
AK-47 | Jaguar (Field-Tested)@24.09@22.8855
AK-47 | Jungle Spray (Field-Tested)@4.98@4.731
AK-47 | Leet Museo (Battle-Scarred)@15.89@15.0955
AK-47 | Legion of Anubis (Battle-Scarred)@4.97@4.7215
AK-47 | Legion of Anubis (Factory New)@17.41@16.5395
AK-47 | Legion of Anubis (Field-Tested)@6.81@6.469499999999999
AK-47 | Legion of Anubis (Minimal Wear)@9.38@8.911
AK-47 | Neon Revolution (Factory New)@60.95@57.9025
AK-47 | Neon Revolution (Field-Tested)@11.55@10.9725
AK-47 | Neon Rider (Field-Tested)@27.22@25.858999999999998
AK-47 | Nightwish (Battle-Scarred)@6.41@6.0895
AK-47 | Nightwish (Field-Tested)@13.25@12.587499999999999
AK-47 | Nightwish (Minimal Wear)@30.33@28.813499999999998
AK-47 | Nightwish (Well-Worn)@9.64@9.158
AK-47 | Phantom Disruptor (Battle-Scarred)@3.26@3.0969999999999995
AK-47 | Phantom Disruptor (Factory New)@7.82@7.429
AK-47 | Phantom Disruptor (Field-Tested)@3.39@3.2205
AK-47 | Phantom Disruptor (Minimal Wear)@4.86@4.617
AK-47 | Phantom Disruptor (Well-Worn)@4.44@4.218
AK-47 | Point Disarray (Factory New)@20.53@19.5035
AK-47 | Point Disarray (Field-Tested)@7.13@6.773499999999999
AK-47 | Point Disarray (Minimal Wear)@11.42@10.849
AK-47 | Predator (Minimal Wear)@33.86@32.166999999999994
AK-47 | Rat Rod (Battle-Scarred)@2.42@2.299
AK-47 | Rat Rod (Field-Tested)@2.38@2.2609999999999997
AK-47 | Rat Rod (Well-Worn)@2.39@2.2705
AK-47 | Redline (Battle-Scarred)@8.92@8.474
AK-47 | Redline (Field-Tested)@14.15@13.442499999999999
AK-47 | Safari Mesh (Battle-Scarred)@0.26@0.247
AK-47 | Safari Mesh (Field-Tested)@0.52@0.494
AK-47 | Safari Mesh (Minimal Wear)@0.4@0.38
AK-47 | Safari Mesh (Well-Worn)@0.17@0.1615
AK-47 | Safety Net (Battle-Scarred)@3.1@2.945
AK-47 | Safety Net (Field-Tested)@3.32@3.154
AK-47 | Slate (Battle-Scarred)@1.41@1.3395
AK-47 | Slate (Factory New)@6.64@6.308
AK-47 | Slate (Field-Tested)@1.57@1.4915
AK-47 | Slate (Minimal Wear)@2.68@2.546
AK-47 | Slate (Well-Worn)@1.38@1.311
AK-47 | Steel Delta (Battle-Scarred)@1.54@1.4629999999999999
AK-47 | Steel Delta (Factory New)@3.37@3.2015
AK-47 | Steel Delta (Field-Tested)@1.33@1.2635
AK-47 | Steel Delta (Minimal Wear)@1.98@1.881
AK-47 | The Empress (Field-Tested)@21.09@20.0355
AK-47 | The Empress (Well-Worn)@16.27@15.456499999999998
AK-47 | Uncharted (Battle-Scarred)@0.17@0.1615
AK-47 | Uncharted (Factory New)@0.77@0.7314999999999999
AK-47 | Uncharted (Field-Tested)@0.17@0.1615
AK-47 | Uncharted (Minimal Wear)@0.26@0.247
AK-47 | Uncharted (Well-Worn)@0.36@0.34199999999999997
AK-47 | Vulcan (Minimal Wear)@392.89@373.2455
AK-47 | Vulcan (Well-Worn)@118.82@112.87899999999999
AK-47 | Wasteland Rebel (Minimal Wear)@33.07@31.4165
Antwerp 2022 Challengers Autograph Capsule@0.73@0.6935
Antwerp 2022 Challengers Sticker Capsule@0.82@0.7789999999999999
Antwerp 2022 Champions Autograph Capsule@0.58@0.5509999999999999
Antwerp 2022 Contenders Autograph Capsule@0.74@0.703
Antwerp 2022 Contenders Sticker Capsule@0.57@0.5415
Antwerp 2022 Legends Autograph Capsule@0.76@0.722
Antwerp 2022 Legends Sticker Capsule@0.75@0.7124999999999999
Antwerp 2022 Mirage Souvenir Package@3.09@2.9354999999999998
Anubis Collection Package@1.24@1.178
Arno The Overgrown | Guerrilla Warfare@2.81@2.6694999999999998
Aspirant | Gendarmerie Nationale@1.52@1.444
AUG | Amber Fade (Factory New)@1.02@0.969
AUG | Amber Fade (Field-Tested)@0.3@0.285
AUG | Amber Fade (Minimal Wear)@0.59@0.5605
AUG | Amber Slipstream (Factory New)@0.22@0.209
AUG | Amber Slipstream (Field-Tested)@0.14@0.133
AUG | Amber Slipstream (Minimal Wear)@0.2@0.19
AUG | Arctic Wolf (Field-Tested)@1.26@1.1969999999999998
AUG | Arctic Wolf (Minimal Wear)@1.93@1.8335
AUG | Arctic Wolf (Well-Worn)@1.31@1.2445
AUG | Aristocrat (Battle-Scarred)@0.3@0.285
AUG | Aristocrat (Factory New)@1.19@1.1304999999999998
AUG | Aristocrat (Field-Tested)@0.29@0.27549999999999997
AUG | Aristocrat (Minimal Wear)@0.63@0.5984999999999999
AUG | Aristocrat (Well-Worn)@0.59@0.5605
AUG | Chameleon (Field-Tested)@2.55@2.4225
AUG | Chameleon (Minimal Wear)@2.69@2.5555
AUG | Condemned (Battle-Scarred)@0.15@0.1425
AUG | Condemned (Factory New)@0.61@0.5795
AUG | Condemned (Field-Tested)@0.11@0.1045
AUG | Condemned (Minimal Wear)@0.2@0.19
AUG | Contractor (Battle-Scarred)@0.03@0.028499999999999998
AUG | Contractor (Field-Tested)@0.03@0.028499999999999998
AUG | Contractor (Minimal Wear)@0.03@0.028499999999999998
AUG | Contractor (Well-Worn)@0.03@0.028499999999999998
AUG | Daedalus (Factory New)@2.29@2.1755
AUG | Daedalus (Field-Tested)@1.83@1.7385
AUG | Daedalus (Minimal Wear)@2.07@1.9664999999999997
AUG | Fleet Flock (Battle-Scarred)@1.12@1.064
AUG | Fleet Flock (Field-Tested)@1.87@1.7765
AUG | Fleet Flock (Minimal Wear)@2.48@2.356
AUG | Fleet Flock (Well-Worn)@1.28@1.216
AUG | Momentum (Battle-Scarred)@1.14@1.083
AUG | Momentum (Field-Tested)@1.31@1.2445
AUG | Momentum (Minimal Wear)@4.03@3.8285
AUG | Momentum (Well-Worn)@1.13@1.0735
AUG | Navy Murano (Field-Tested)@0.66@0.627
AUG | Navy Murano (Minimal Wear)@0.82@0.7789999999999999
AUG | Navy Murano (Well-Worn)@0.64@0.608
AUG | Plague (Factory New)@0.67@0.6365
AUG | Plague (Field-Tested)@0.24@0.22799999999999998
AUG | Plague (Minimal Wear)@0.39@0.3705
AUG | Radiation Hazard (Factory New)@1.32@1.254
AUG | Radiation Hazard (Field-Tested)@0.89@0.8454999999999999
AUG | Radiation Hazard (Minimal Wear)@1.2@1.14
AUG | Radiation Hazard (Well-Worn)@0.74@0.703
AUG | Random Access (Field-Tested)@1.26@1.1969999999999998
AUG | Ricochet (Factory New)@0.51@0.4845
AUG | Ricochet (Minimal Wear)@0.17@0.1615
AUG | Spalted Wood (Field-Tested)@2.59@2.4604999999999997
AUG | Storm (Battle-Scarred)@0.03@0.028499999999999998
AUG | Storm (Factory New)@0.2@0.19
AUG | Storm (Field-Tested)@0.03@0.028499999999999998
AUG | Storm (Minimal Wear)@0.03@0.028499999999999998
AUG | Storm (Well-Worn)@0.03@0.028499999999999998
AUG | Stymphalian (Battle-Scarred)@0.99@0.9405
AUG | Stymphalian (Factory New)@16.87@16.0265
AUG | Stymphalian (Field-Tested)@1.07@1.0165
AUG | Stymphalian (Minimal Wear)@2.25@2.1374999999999997
AUG | Surveillance (Factory New)@0.21@0.19949999999999998
AUG | Sweeper (Battle-Scarred)@0.03@0.028499999999999998
AUG | Sweeper (Factory New)@0.09@0.08549999999999999
AUG | Sweeper (Field-Tested)@0.03@0.028499999999999998
AUG | Syd Mead (Factory New)@7.86@7.467
