name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Case Hardened (Well-Worn)@184.9@181.202@197.49@187.6155@csdeals@shadowpay@2.72
AWP | Electric Hive (Minimal Wear)@38.1@37.338@44.76@42.522@csdeals@shadowpay@4.42
AWP | Snake Camo (Minimal Wear)@144.73@141.8354@212.24@201.628@csdeals@shadowpay@56.9
Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015@20.0@19.6@32.75@31.1125@csdeals@shadowpay@11.11
Desert Eagle | Heirloom (Factory New)@12.0@11.76@24.96@23.712@csdeals@shadowpay@11.71
Desert Eagle | Midnight Storm (Battle-Scarred)@16.0@15.68@25.64@24.358@csdeals@shadowpay@8.36
ESL One Cologne 2014 Legends@94.64@92.7472@105.87@100.5765@csdeals@shadowpay@5.94
Five-SeveN | Case Hardened (Factory New)@23.94@23.4612@27.98@26.581@csdeals@shadowpay@2.64
Five-SeveN | Copper Galaxy (Factory New)@20.99@20.5702@61.46@58.387@csdeals@shadowpay@37.4
Galil AR | Chatterbox (Field-Tested)@60.0@58.8@75.14@71.383@csdeals@shadowpay@11.38
Glock-18 | Twilight Galaxy (Minimal Wear)@150.0@147.0@294.15@279.44249999999994@csdeals@shadowpay@129.44
M4A1-S | Icarus Fell (Minimal Wear)@499.99@489.9902@650.0@617.5@csdeals@shadowpay@117.51
M4A4 | Radiation Hazard (Minimal Wear)@71.8@70.36399999999999@84.99@80.7405@csdeals@shadowpay@8.94
MAG-7 | Praetorian (Minimal Wear)@1.97@1.9306@8.85@8.407499999999999@csdeals@shadowpay@6.44
P250 | Crimson Kimono (Minimal Wear)@15.58@15.2684@19.03@18.0785@csdeals@shadowpay@2.5
P250 | Mehndi (Battle-Scarred)@9.96@9.7608@13.83@13.1385@csdeals@shadowpay@3.18
P250 | Splash (Minimal Wear)@17.0@16.66@20.3@19.285@csdeals@shadowpay@2.28
PP-Bizon | Antique (Factory New)@8.61@8.4378@11.52@10.944@csdeals@shadowpay@2.33
Sawed-Off | Highwayman (Field-Tested)@0.78@0.7644@3.05@2.8974999999999995@csdeals@shadowpay@2.12
Souvenir Galil AR | Cerberus (Field-Tested)@30.99@30.3702@57.71@54.8245@csdeals@shadowpay@23.83
Souvenir MP9 | Dark Age (Minimal Wear)@14.99@14.6902@18.04@17.137999999999998@csdeals@shadowpay@2.15
Souvenir P2000 | Chainmail (Factory New)@25.0@24.5@49.0@46.55@csdeals@shadowpay@21.55
Souvenir Tec-9 | Red Quartz (Minimal Wear)@19.99@19.5902@25.15@23.8925@csdeals@shadowpay@3.9
StatTrak™ AK-47 | Red Laminate (Battle-Scarred)@109.9@107.702@177.76@168.872@csdeals@shadowpay@58.97
StatTrak™ AK-47 | Redline (Battle-Scarred)@24.07@23.5886@28.99@27.5405@csdeals@shadowpay@3.47
StatTrak™ AUG | Wings (Factory New)@15.0@14.7@18.17@17.2615@csdeals@shadowpay@2.26
StatTrak™ AWP | Asiimov (Battle-Scarred)@164.78@161.4844@179.6@170.61999999999998@csdeals@shadowpay@5.84
StatTrak™ AWP | Corticera (Field-Tested)@25.86@25.3428@30.0@28.5@csdeals@shadowpay@2.64
StatTrak™ CZ75-Auto | Poison Dart (Factory New)@13.99@13.7102@32.74@31.103@csdeals@shadowpay@17.11
StatTrak™ Desert Eagle | Crimson Web (Minimal Wear)@50.0@49.0@69.63@66.1485@csdeals@shadowpay@16.15
StatTrak™ FAMAS | Afterimage (Minimal Wear)@26.0@25.48@34.46@32.737@csdeals@shadowpay@6.74
StatTrak™ Five-SeveN | Fowl Play (Minimal Wear)@9.38@9.1924@12.86@12.217@csdeals@shadowpay@2.84
StatTrak™ Galil AR | Chatterbox (Well-Worn)@35.0@34.3@44.0@41.8@csdeals@shadowpay@6.8
StatTrak™ Glock-18 | Dragon Tattoo (Factory New)@229.99@225.3902@405.15@384.8925@csdeals@shadowpay@154.9
StatTrak™ M4A1-S | Guardian (Factory New)@94.99@93.0902@117.33@111.4635@csdeals@shadowpay@16.47
StatTrak™ M4A4 | Buzz Kill (Factory New)@86.32@84.5936@96.93@92.0835@csdeals@shadowpay@5.76
StatTrak™ M4A4 | Royal Paladin (Well-Worn)@28.0@27.44@49.22@46.75899999999999@csdeals@shadowpay@18.76
StatTrak™ P2000 | Corticera (Field-Tested)@11.67@11.4366@15.22@14.459@csdeals@shadowpay@2.79
StatTrak™ R8 Revolver | Fade (Factory New)@65.0@63.7@85.88@81.586@csdeals@shadowpay@16.59
StatTrak™ SCAR-20 | Cyrex (Field-Tested)@65.69@64.3762@138.76@131.82199999999995@csdeals@shadowpay@66.13
StatTrak™ Tec-9 | Fuel Injector (Factory New)@35.0@34.3@45.23@42.96849999999999@csdeals@shadowpay@7.97
StatTrak™ UMP-45 | Primal Saber (Factory New)@30.0@29.4@45.26@42.99699999999999@csdeals@shadowpay@13.0
StatTrak™ USP-S | Stainless (Minimal Wear)@30.99@30.3702@36.54@34.713@csdeals@shadowpay@3.72
Sticker | Cloud9 G2A | Cologne 2015@4.5@4.41@10.57@10.0415@csdeals@shadowpay@5.54
Sticker | Cloud9 | MLG Columbus 2016@5.0@4.9@13.36@12.691999999999998@csdeals@shadowpay@7.69
Sticker | GODSENT (Holo) | Atlanta 2017@35.0@34.3@42.01@39.9095@csdeals@shadowpay@4.91
Sticker | Headhunter (Foil)@42.3@41.45399999999999@60.5@57.475@csdeals@shadowpay@15.18
Sticker | NEO | Cologne 2015@4.0@3.92@6.81@6.469499999999999@csdeals@shadowpay@2.47
Sticker | SK Gaming (Holo) | Atlanta 2017@74.99@73.49019999999999@120.0@114.0@csdeals@shadowpay@39.01
Sticker | Team Dignitas | Cologne 2014@39.99@39.1902@45.0@42.75@csdeals@shadowpay@2.76
Sticker | Team Liquid (Foil) | MLG Columbus 2016@54.99@53.8902@104.2@98.99@csdeals@shadowpay@44.0
Sticker | Virtus.Pro | DreamHack 2014@18.0@17.64@27.0@25.65@csdeals@shadowpay@7.65
Sticker | flamie | Cluj-Napoca 2015@2.14@2.0972@4.68@4.446@csdeals@shadowpay@2.31
Tec-9 | Nuclear Threat (Battle-Scarred)@22.0@21.56@25.55@24.2725@csdeals@shadowpay@2.27
Tec-9 | Nuclear Threat (Minimal Wear)@90.0@88.2@97.0@92.15@csdeals@shadowpay@2.15
USP-S | Business Class (Minimal Wear)@34.99@34.2902@54.16@51.45199999999999@csdeals@shadowpay@16.46
USP-S | Kill Confirmed (Well-Worn)@37.0@36.26@44.78@42.541@csdeals@shadowpay@5.54
USP-S | Serum (Field-Tested)@31.99@31.3502@38.0@36.1@csdeals@shadowpay@4.11
★ Bayonet | Black Laminate (Field-Tested)@399.99@391.9902@471.88@448.286@csdeals@shadowpay@48.3
★ Bayonet | Crimson Web (Field-Tested)@400.0@392.0@567.0@538.65@csdeals@shadowpay@138.65
