name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Emerald Pinstripe (Well-Worn)@6.5@6.37@14.87@14.126499999999998@csdeals@skinwallet@7.63
AWP | Corticera (Minimal Wear)@16.99@16.650199999999998@33.76@32.072@csdeals@skinwallet@15.08
AWP | Electric Hive (Factory New)@80.0@78.4@110.0@104.5@csdeals@skinwallet@24.5
AWP | Redline (Field-Tested)@38.97@38.1906@48.42@45.999@csdeals@skinwallet@7.03
AWP | Redline (Minimal Wear)@65.0@63.7@400.0@380.0@csdeals@skinwallet@315.0
Desert Eagle | Heirloom (Field-Tested)@6.0@5.88@250.0@237.5@csdeals@skinwallet@231.5
Glock-18 | Night (Well-Worn)@1.1@1.078@3.87@3.6765@csdeals@skinwallet@2.58
M4A1-S | Blood Tiger (Factory New)@24.0@23.52@30.0@28.5@csdeals@skinwallet@4.5
M4A4 | X-Ray (Factory New)@29.99@29.3902@44.76@42.522@csdeals@skinwallet@12.53
Nova | Predator (Factory New)@0.1@0.098@14.59@13.8605@csdeals@skinwallet@13.76
Souvenir Five-SeveN | Contractor (Field-Tested)@1.0@0.98@6.87@6.5265@csdeals@skinwallet@5.53
Souvenir Negev | Nuclear Waste (Factory New)@5.0@4.9@139.5@132.525@csdeals@skinwallet@127.52
Souvenir P250 | Sand Dune (Well-Worn)@1.0@0.98@4.2@3.99@csdeals@skinwallet@2.99
Souvenir Tec-9 | Toxic (Minimal Wear)@29.99@29.3902@300.0@285.0@csdeals@skinwallet@255.01
StatTrak™ AK-47 | Elite Build (Minimal Wear)@9.22@9.0356@12.87@12.226499999999998@csdeals@skinwallet@3.01
StatTrak™ CZ75-Auto | Crimson Web (Minimal Wear)@2.95@2.891@10.87@10.3265@csdeals@skinwallet@7.38
Sticker | G2 Esports | Cologne 2016@6.7@6.566@200.0@190.0@csdeals@skinwallet@183.3
Sticker | HellRaisers | DreamHack 2014@45.0@44.1@600.0@570.0@csdeals@skinwallet@525.0
Sticker | Natus Vincere (Holo) | Katowice 2015@500.0@490.0@750.0@712.5@csdeals@skinwallet@212.5
Sticker | Natus Vincere | Katowice 2015@19.39@19.0022@38.0@36.1@csdeals@skinwallet@16.71
Sticker | Ninjas in Pyjamas (Holo) | Cologne 2014@27.0@26.46@35.0@33.25@csdeals@skinwallet@6.25
Sticker | Virtus.pro (Holo) | Katowice 2015@250.0@245.0@342.0@324.9@csdeals@skinwallet@74.9
USP-S | Overgrowth (Minimal Wear)@27.0@26.46@62.0@58.9@csdeals@skinwallet@31.9
★ Falchion Knife | Rust Coat (Battle-Scarred)@119.99@117.5902@170.0@161.5@csdeals@skinwallet@41.51
Community Capsule 2018@0.88@0.8623999999999999@4.0@3.8@csdeals@skinwallet@2.92
Glock-18 | Nuclear Garden (Factory New)@26.5@25.97@42.87@40.7265@csdeals@skinwallet@14.23
StatTrak™ SSG 08 | Fever Dream (Factory New)@8.44@8.271199999999999@27.87@26.4765@csdeals@skinwallet@18.04
★ Broken Fang Gloves | Yellow-banded (Battle-Scarred)@67.99@66.63019999999999@130.0@123.5@csdeals@skinwallet@55.51
StatTrak™ AK-47 | Slate (Field-Tested)@6.57@6.4386@12.03@11.4285@csdeals@skinwallet@4.86
Stockholm 2021 Contenders Sticker Capsule@4.5@4.41@10.0@9.5@csdeals@skinwallet@5.0
Stockholm 2021 Challengers Sticker Capsule@8.06@7.8988@15.0@14.25@csdeals@skinwallet@6.19
Stockholm 2021 Mirage Souvenir Package@4.0@3.92@50.0@47.5@csdeals@skinwallet@43.5
Stockholm 2021 Dust II Souvenir Package@10.49@10.2802@100.0@95.0@csdeals@skinwallet@84.51
