name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Medium Rare' Crasswater | Guerrilla Warfare@9.6@9.12@15.99@15.6702@shadowpay@csdeals@6.07
★ Bayonet | Lore (Field-Tested)@568.0@539.6@629.99@617.3902@shadowpay@csdeals@49.39
★ Bayonet | Rust Coat (Battle-Scarred)@295.08@280.326@309.99@303.7902@shadowpay@csdeals@8.71
★ Bayonet | Safari Mesh (Minimal Wear)@287.0@272.65@556.66@545.5268@shadowpay@csdeals@258.53
★ Bayonet | Slaughter (Minimal Wear)@600.0@570.0@668.01@654.6498@shadowpay@csdeals@54.65
★ Bowie Knife | Marble Fade (Factory New)@381.99@362.8905@545.54@534.6292@shadowpay@csdeals@152.64
★ Broken Fang Gloves | Unhinged (Well-Worn)@68.11@64.7045@73.99@72.5102@shadowpay@csdeals@4.4
★ Butterfly Knife | Case Hardened (Well-Worn)@865.11@821.8545@949.9@930.902@shadowpay@csdeals@65.79
★ Butterfly Knife | Ultraviolet (Field-Tested)@819.99@778.9905@1099.99@1077.9902@shadowpay@csdeals@258.0
★ Classic Knife | Crimson Web (Field-Tested)@345.0@327.75@408.01@399.8498@shadowpay@csdeals@54.85
★ Driver Gloves | Black Tie (Battle-Scarred)@113.47@107.7965@145.31@142.4038@shadowpay@csdeals@28.93
★ Driver Gloves | Crimson Weave (Field-Tested)@365.0@346.75@379.95@372.351@shadowpay@csdeals@7.35
★ Driver Gloves | Queen Jaguar (Battle-Scarred)@72.48@68.856@89.06@87.2788@shadowpay@csdeals@14.8
★ Driver Gloves | Rezan the Red (Field-Tested)@85.95@81.6525@100.0@98.0@shadowpay@csdeals@12.05
★ Falchion Knife | Night (Field-Tested)@123.7@117.515@129.9@127.302@shadowpay@csdeals@3.6
★ Flip Knife | Black Laminate (Field-Tested)@279.99@265.9905@410.18@401.9764@shadowpay@csdeals@121.99
★ Flip Knife | Tiger Tooth (Factory New)@514.98@489.231@556.6@545.468@shadowpay@csdeals@30.49
★ Gut Knife | Tiger Tooth (Factory New)@189.82@180.329@219.99@215.5902@shadowpay@csdeals@25.77
★ Hand Wraps | CAUTION! (Field-Tested)@246.25@233.9375@300.75@294.735@shadowpay@csdeals@48.49
★ Hand Wraps | Constrictor (Well-Worn)@67.68@64.296@79.99@78.3902@shadowpay@csdeals@10.71
★ Hand Wraps | Desert Shamagh (Battle-Scarred)@67.48@64.106@79.99@78.3902@shadowpay@csdeals@10.91
★ Hand Wraps | Desert Shamagh (Field-Tested)@65.87@62.5765@77.93@76.37140000000001@shadowpay@csdeals@10.5
★ Hand Wraps | Desert Shamagh (Well-Worn)@64.95@61.7025@82.49@80.8402@shadowpay@csdeals@15.89
★ Hand Wraps | Overprint (Field-Tested)@269.84@256.348@409.9@401.702@shadowpay@csdeals@131.86
★ Hand Wraps | Overprint (Minimal Wear)@512.78@487.141@640.0@627.2@shadowpay@csdeals@114.42
★ Hand Wraps | Spruce DDPAT (Field-Tested)@109.03@103.5785@129.9@127.302@shadowpay@csdeals@18.27
★ Huntsman Knife | Marble Fade (Factory New)@407.07@386.7165@475.4@465.892@shadowpay@csdeals@58.82
★ Huntsman Knife | Rust Coat (Battle-Scarred)@119.64@113.658@134.99@132.2902@shadowpay@csdeals@12.65
★ Hydra Gloves | Case Hardened (Field-Tested)@91.99@87.39049999999999@99.99@97.9902@shadowpay@csdeals@6.0
★ Hydra Gloves | Emerald (Field-Tested)@64.1@60.89499999999999@79.99@78.3902@shadowpay@csdeals@14.29
★ Hydra Gloves | Emerald (Minimal Wear)@109.99@104.4905@122.47@120.0206@shadowpay@csdeals@10.03
★ Hydra Gloves | Rattler (Battle-Scarred)@53.59@50.9105@57.0@55.86@shadowpay@csdeals@2.27
★ Hydra Gloves | Rattler (Field-Tested)@53.34@50.673@57.0@55.86@shadowpay@csdeals@2.52
★ Hydra Gloves | Rattler (Minimal Wear)@73.18@69.521@83.49@81.8202@shadowpay@csdeals@8.64
★ Karambit | Bright Water (Field-Tested)@660.0@627.0@799.9@783.9019999999999@shadowpay@csdeals@123.9
★ Karambit | Freehand (Minimal Wear)@820.0@779.0@899.99@881.9902@shadowpay@csdeals@61.99
★ Karambit | Lore (Field-Tested)@1240.0@1178.0@1500.0@1470.0@shadowpay@csdeals@230.0
★ Karambit | Safari Mesh (Minimal Wear)@478.22@454.309@538.22@527.4556@shadowpay@csdeals@49.24
★ M9 Bayonet | Freehand (Field-Tested)@646.17@613.8615@693.95@680.071@shadowpay@csdeals@33.9
★ M9 Bayonet | Scorched (Field-Tested)@426.97@405.6215@449.9@440.902@shadowpay@csdeals@13.93
★ Moto Gloves | 3rd Commando Company (Field-Tested)@82.0@77.89999999999999@114.99@112.6902@shadowpay@csdeals@30.69
★ Moto Gloves | Blood Pressure (Field-Tested)@166.69@158.35549999999998@199.29@195.3042@shadowpay@csdeals@28.61
★ Moto Gloves | Boom! (Minimal Wear)@379.98@360.981@399.99@391.9902@shadowpay@csdeals@12.01
★ Moto Gloves | Eclipse (Battle-Scarred)@84.32@80.10399999999998@100.19@98.1862@shadowpay@csdeals@13.87
★ Moto Gloves | Polygon (Field-Tested)@200.0@190.0@225.0@220.5@shadowpay@csdeals@20.5
★ Navaja Knife | Boreal Forest (Battle-Scarred)@87.65@83.2675@102.1@100.058@shadowpay@csdeals@12.41
★ Navaja Knife | Boreal Forest (Well-Worn)@88.99@84.5405@99.99@97.9902@shadowpay@csdeals@9.0
★ Navaja Knife | Fade (Factory New)@270.0@256.5@294.9@289.00199999999995@shadowpay@csdeals@19.0
★ Navaja Knife | Rust Coat (Battle-Scarred)@84.16@79.952@89.99@88.19019999999999@shadowpay@csdeals@4.03
★ Navaja Knife | Urban Masked (Field-Tested)@83.89@79.6955@99.99@97.9902@shadowpay@csdeals@14.1
★ Nomad Knife | Blue Steel (Minimal Wear)@370.0@351.5@434.2@425.516@shadowpay@csdeals@55.52
★ Nomad Knife | Crimson Web (Battle-Scarred)@310.32@294.804@356.26@349.1348@shadowpay@csdeals@38.81
★ Nomad Knife | Crimson Web (Minimal Wear)@774.74@736.0029999999999@834.06@817.3788@shadowpay@csdeals@42.64
★ Nomad Knife | Fade (Factory New)@1199.99@1139.9905@1299.99@1273.9902@shadowpay@csdeals@74.0
★ Nomad Knife | Forest DDPAT (Field-Tested)@157.19@149.3305@165.99@162.6702@shadowpay@csdeals@5.48
★ Nomad Knife | Night Stripe (Field-Tested)@192.74@183.103@229.99@225.3902@shadowpay@csdeals@32.65
★ Paracord Knife@285.98@271.681@419.9@411.502@shadowpay@csdeals@125.52
★ Paracord Knife | Slaughter (Factory New)@418.0@397.1@539.9@529.102@shadowpay@csdeals@111.1
★ Shadow Daggers | Bright Water (Factory New)@118.8@112.86@129.99@127.3902@shadowpay@csdeals@8.59
★ Shadow Daggers | Marble Fade (Factory New)@209.29@198.8255@235.0@230.3@shadowpay@csdeals@21.01
★ Skeleton Knife | Forest DDPAT (Field-Tested)@296.99@282.1405@320.0@313.6@shadowpay@csdeals@16.61
★ Skeleton Knife | Scorched (Field-Tested)@295.15@280.3925@399.9@391.902@shadowpay@csdeals@96.75
★ Skeleton Knife | Stained (Battle-Scarred)@400.0@380.0@469.9@460.502@shadowpay@csdeals@60.5
★ Specialist Gloves | Fade (Field-Tested)@418.18@397.271@439.99@431.1902@shadowpay@csdeals@13.01
★ Specialist Gloves | Field Agent (Field-Tested)@354.99@337.2405@399.9@391.902@shadowpay@csdeals@36.91
★ Specialist Gloves | Foundation (Battle-Scarred)@141.59@134.5105@159.99@156.7902@shadowpay@csdeals@15.2
★ Specialist Gloves | Tiger Strike (Battle-Scarred)@199.99@189.9905@334.0@327.32@shadowpay@csdeals@127.33
★ Sport Gloves | Big Game (Well-Worn)@297.64@282.758@330.0@323.4@shadowpay@csdeals@25.76
★ Sport Gloves | Bronze Morph (Battle-Scarred)@129.0@122.55@154.76@151.6648@shadowpay@csdeals@22.66
