name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Bayonet | Gamma Doppler (Minimal Wear)@847.0@804.65@979.34@861.8192@shadowpay@skinport@14.82
★ Bloodhound Gloves | Bronzed (Battle-Scarred)@72.99@69.34049999999999@89.03@78.3464@shadowpay@skinport@5.36
★ Bloodhound Gloves | Guerrilla (Battle-Scarred)@73.99@70.2905@91.26@80.3088@shadowpay@skinport@6.32
★ Bowie Knife | Autotronic (Well-Worn)@199.0@189.05@245.0@215.6@shadowpay@skinport@16.6
★ Bowie Knife | Case Hardened (Well-Worn)@262.0@248.9@316.81@278.7928@shadowpay@skinport@16.79
★ Bowie Knife | Safari Mesh (Field-Tested)@108.73@103.2935@133.55@117.52400000000002@shadowpay@skinport@8.79
★ Broken Fang Gloves | Unhinged (Factory New)@500.0@475.0@643.06@565.8928@shadowpay@skinport@65.89
★ Butterfly Knife | Boreal Forest (Minimal Wear)@950.0@902.5@1412.26@1242.7888@shadowpay@skinport@292.79
★ Butterfly Knife | Crimson Web (Well-Worn)@918.64@872.708@1154.31@1015.7928@shadowpay@skinport@97.15
★ Classic Knife | Scorched (Factory New)@250.0@237.5@626.4@551.232@shadowpay@skinport@301.23
★ Classic Knife | Urban Masked (Battle-Scarred)@142.1@134.99499999999998@211.45@186.076@shadowpay@skinport@43.98
★ Driver Gloves | Imperial Plaid (Factory New)@2130.98@2024.431@2615.29@2301.4552@shadowpay@skinport@170.48
★ Falchion Knife | Crimson Web (Battle-Scarred)@165.34@157.073@200.0@176.0@shadowpay@skinport@10.66
★ Falchion Knife | Stained (Minimal Wear)@129.69@123.2055@162.88@143.3344@shadowpay@skinport@13.64
★ Flip Knife | Black Laminate (Minimal Wear)@266.64@253.308@316.06@278.13280000000003@shadowpay@skinport@11.49
★ Flip Knife | Freehand (Minimal Wear)@253.27@240.6065@292.33@257.2504@shadowpay@skinport@3.98
★ Flip Knife | Safari Mesh (Minimal Wear)@156.0@148.2@204.85@180.268@shadowpay@skinport@24.27
★ Gut Knife | Blue Steel (Field-Tested)@118.99@113.0405@144.68@127.3184@shadowpay@skinport@8.33
★ Gut Knife | Case Hardened (Minimal Wear)@195.0@185.25@230.16@202.5408@shadowpay@skinport@7.54
★ Gut Knife | Crimson Web (Well-Worn)@144.81@137.5695@180.28@158.6464@shadowpay@skinport@13.84
★ Gut Knife | Forest DDPAT (Minimal Wear)@105.99@100.6905@133.54@117.5152@shadowpay@skinport@11.53
★ Hand Wraps | Arboreal (Well-Worn)@81.1@77.04499999999999@97.93@86.17840000000001@shadowpay@skinport@5.08
★ Hand Wraps | Spruce DDPAT (Minimal Wear)@184.8@175.56@332.75@292.82@shadowpay@skinport@108.02
★ Hand Wraps | Spruce DDPAT (Well-Worn)@106.72@101.384@188.51@165.8888@shadowpay@skinport@59.17
★ Huntsman Knife | Case Hardened (Minimal Wear)@291.48@276.906@333.86@293.7968@shadowpay@skinport@2.32
★ Karambit | Boreal Forest (Minimal Wear)@639.99@607.9905@923.89@813.0232@shadowpay@skinport@173.03
★ Karambit | Marble Fade (Minimal Wear)@1650.0@1567.5@15433.46@13581.4448@shadowpay@skinport@11931.44
★ M9 Bayonet | Case Hardened (Field-Tested)@680.0@646.0@800.0@704.0@shadowpay@skinport@24.0
★ M9 Bayonet | Safari Mesh (Minimal Wear)@461.74@438.653@605.63@532.9544@shadowpay@skinport@71.21
★ M9 Bayonet | Urban Masked (Battle-Scarred)@471.99@448.3905@730.75@643.0600000000001@shadowpay@skinport@171.07
★ Moto Gloves | 3rd Commando Company (Minimal Wear)@146.99@139.6405@188.0@165.44@shadowpay@skinport@18.45
★ Moto Gloves | Boom! (Minimal Wear)@379.98@360.981@496.35@436.788@shadowpay@skinport@56.81
★ Moto Gloves | Cool Mint (Battle-Scarred)@155.07@147.3165@194.74@171.37120000000002@shadowpay@skinport@16.3
★ Moto Gloves | POW! (Well-Worn)@279.88@265.886@322.73@284.0024@shadowpay@skinport@4.12
★ Moto Gloves | Spearmint (Battle-Scarred)@416.3@395.485@528.61@465.1768@shadowpay@skinport@48.88
★ Moto Gloves | Spearmint (Minimal Wear)@7299.0@6934.049999999999@9388.7@8262.056@shadowpay@skinport@963.06
★ Navaja Knife | Scorched (Battle-Scarred)@88.99@84.5405@105.71@93.0248@shadowpay@skinport@4.03
★ Navaja Knife | Ultraviolet (Battle-Scarred)@89.89@85.3955@109.83@96.6504@shadowpay@skinport@6.76
★ Nomad Knife | Urban Masked (Well-Worn)@170.0@161.5@212.14@186.6832@shadowpay@skinport@16.68
★ Paracord Knife | Case Hardened (Well-Worn)@221.99@210.8905@254.85@224.268@shadowpay@skinport@2.28
★ Paracord Knife | Fade (Minimal Wear)@880.0@836.0@1057.87@930.9256@shadowpay@skinport@50.93
★ Shadow Daggers | Black Laminate (Factory New)@179.99@170.9905@217.01@190.9688@shadowpay@skinport@10.98
★ Shadow Daggers | Blue Steel (Factory New)@152.0@144.4@190.35@167.508@shadowpay@skinport@15.51
★ Shadow Daggers | Freehand (Well-Worn)@120.06@114.057@155.8@137.104@shadowpay@skinport@17.04
★ Shadow Daggers | Slaughter (Field-Tested)@178.0@169.1@206.53@181.7464@shadowpay@skinport@3.75
★ Skeleton Knife | Case Hardened (Factory New)@1329.07@1262.6165@1613.69@1420.0472@shadowpay@skinport@90.98
★ Skeleton Knife | Scorched (Battle-Scarred)@290.0@275.5@333.27@293.2776@shadowpay@skinport@3.28
★ Skeleton Knife | Scorched (Minimal Wear)@359.0@341.05@577.23@507.9624@shadowpay@skinport@148.96
★ Skeleton Knife | Urban Masked (Battle-Scarred)@304.3@289.085@438.46@385.8448@shadowpay@skinport@81.54
★ Specialist Gloves | Mogul (Factory New)@1685.79@1601.5005@2409.61@2120.4568@shadowpay@skinport@434.67
