name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Bayonet | Doppler (Factory New)@658.59@625.6605@835.0@793.25@shadowpay@skinwallet@134.66
★ Broken Fang Gloves | Yellow-banded (Battle-Scarred)@70.79@67.2505@130.0@123.5@shadowpay@skinwallet@52.71
★ Falchion Knife | Rust Coat (Battle-Scarred)@116.7@110.865@170.0@161.5@shadowpay@skinwallet@44.8
★ M9 Bayonet | Gamma Doppler (Factory New)@1274.99@1211.2405@2189.0@2079.55@shadowpay@skinwallet@804.56
AK-47 | Blue Laminate (Minimal Wear)@8.16@7.752@17.86@16.967@shadowpay@skinwallet@8.81
AK-47 | Emerald Pinstripe (Well-Worn)@5.61@5.3295@14.87@14.126499999999998@shadowpay@skinwallet@8.52
AK-47 | Predator (Minimal Wear)@17.82@16.929@33.86@32.166999999999994@shadowpay@skinwallet@14.35
AUG | Stymphalian (Factory New)@7.22@6.858999999999999@16.87@16.0265@shadowpay@skinwallet@8.81
AWP | Corticera (Minimal Wear)@13.46@12.787@33.76@32.072@shadowpay@skinwallet@18.61
AWP | Electric Hive (Factory New)@71.73@68.1435@110.0@104.5@shadowpay@skinwallet@32.77
AWP | Graphite (Minimal Wear)@219.1@208.145@294.79@280.0505@shadowpay@skinwallet@60.95
AWP | Redline (Field-Tested)@38.02@36.119@48.42@45.999@shadowpay@skinwallet@7.98
AWP | Redline (Minimal Wear)@60.0@57.0@400.0@380.0@shadowpay@skinwallet@320.0
Community Capsule 2018@1.15@1.0924999999999998@4.0@3.8@shadowpay@skinwallet@2.65
Desert Eagle | Golden Koi (Factory New)@80.0@76.0@99.8@94.81@shadowpay@skinwallet@14.81
Desert Eagle | Heirloom (Field-Tested)@5.28@5.016@250.0@237.5@shadowpay@skinwallet@232.22
FAMAS | Styx (Well-Worn)@6.6@6.27@9.87@9.376499999999998@shadowpay@skinwallet@2.78
FAMAS | ZX Spectron (Factory New)@6.19@5.8805000000000005@13.87@13.1765@shadowpay@skinwallet@6.99
Five-SeveN | Monkey Business (Minimal Wear)@11.36@10.792@27.87@26.4765@shadowpay@skinwallet@15.12
Glock-18 | Night (Well-Worn)@1.14@1.083@3.87@3.6765@shadowpay@skinwallet@2.54
Glock-18 | Nuclear Garden (Factory New)@16.59@15.7605@42.87@40.7265@shadowpay@skinwallet@24.14
Glock-18 | Wasteland Rebel (Factory New)@7.43@7.0585@14.87@14.126499999999998@shadowpay@skinwallet@6.7
Glock-18 | Water Elemental (Factory New)@11.59@11.0105@39.87@37.87649999999999@shadowpay@skinwallet@26.29
M4A1-S | Blood Tiger (Factory New)@6.27@5.956499999999999@30.0@28.5@shadowpay@skinwallet@22.23
M4A1-S | Hyper Beast (Minimal Wear)@44.32@42.104@75.0@71.25@shadowpay@skinwallet@26.93
M4A4 | Tooth Fairy (Factory New)@9.69@9.2055@13.4@12.73@shadowpay@skinwallet@3.04
M4A4 | Tornado (Minimal Wear)@4.34@4.122999999999999@12.87@12.226499999999998@shadowpay@skinwallet@7.89
M4A4 | X-Ray (Factory New)@18.58@17.650999999999996@44.76@42.522@shadowpay@skinwallet@23.94
MP7 | Whiteout (Field-Tested)@7.62@7.239@12.87@12.226499999999998@shadowpay@skinwallet@4.61
MP9 | Bulldozer (Minimal Wear)@110.85@105.3075@200.0@190.0@shadowpay@skinwallet@79.15
Negev | Bulkhead (Factory New)@0.14@0.133@7.0@6.65@shadowpay@skinwallet@6.51
Nova | Graphite (Factory New)@10.6@10.07@16.87@16.0265@shadowpay@skinwallet@5.43
Nova | Predator (Factory New)@0.16@0.152@14.59@13.8605@shadowpay@skinwallet@13.7
P250 | Cartel (Minimal Wear)@6.1@5.794999999999999@130.0@123.5@shadowpay@skinwallet@117.4
Souvenir Five-SeveN | Contractor (Field-Tested)@0.22@0.209@6.87@6.5265@shadowpay@skinwallet@6.31
Souvenir MP9 | Old Roots (Battle-Scarred)@0.09@0.0854999999999999@6.0@5.699999999999999@shadowpay@skinwallet@5.61
Souvenir Negev | Nuclear Waste (Factory New)@2.4@2.28@139.5@132.525@shadowpay@skinwallet@130.12
Souvenir Nova | Mandrel (Factory New)@0.14@0.133@7.5@7.125@shadowpay@skinwallet@6.98
Souvenir P2000 | Grassland (Battle-Scarred)@0.07@0.0665@5.0@4.75@shadowpay@skinwallet@4.68
Souvenir USP-S | Road Rash (Well-Worn)@11.41@10.8395@30.0@28.5@shadowpay@skinwallet@17.09
StatTrak™ AK-47 | Elite Build (Minimal Wear)@5.33@5.0635@12.87@12.226499999999998@shadowpay@skinwallet@6.9
StatTrak™ AK-47 | Slate (Field-Tested)@7.26@6.896999999999999@12.03@11.4285@shadowpay@skinwallet@4.17
StatTrak™ AK-47 | Slate (Well-Worn)@6.95@6.6025@11.72@11.134@shadowpay@skinwallet@4.18
StatTrak™ AUG | Amber Slipstream (Well-Worn)@0.34@0.323@30.5@28.975@shadowpay@skinwallet@28.64
StatTrak™ CZ75-Auto | Crimson Web (Minimal Wear)@4.45@4.2275@10.87@10.3265@shadowpay@skinwallet@5.88
StatTrak™ Galil AR | Black Sand (Factory New)@1.95@1.8525@6.87@6.5265@shadowpay@skinwallet@4.58
StatTrak™ Glock-18 | Royal Legion (Factory New)@29.73@28.2435@48.87@46.4265@shadowpay@skinwallet@16.7
StatTrak™ Glock-18 | Warhawk (Factory New)@3.13@2.9735@14.87@14.126499999999998@shadowpay@skinwallet@11.0
StatTrak™ M4A4 | Royal Paladin (Field-Tested)@23.1@21.945@45.87@43.5765@shadowpay@skinwallet@20.48
StatTrak™ MAG-7 | BI83 Spectrum (Minimal Wear)@3.37@3.2015@10.0@9.5@shadowpay@skinwallet@6.13
StatTrak™ MP7 | Ocean Foam (Factory New)@9.19@8.7305@14.87@14.126499999999998@shadowpay@skinwallet@4.94
StatTrak™ Music Kit | Skog, II-Headshot@4.35@4.132499999999999@8.82@8.379@shadowpay@skinwallet@4.03
StatTrak™ SSG 08 | Abyss (Factory New)@13.1@12.445@60.0@57.0@shadowpay@skinwallet@43.9
StatTrak™ SSG 08 | Fever Dream (Factory New)@6.23@5.9185@27.87@26.4765@shadowpay@skinwallet@20.25
Sticker | adreN | MLG Columbus 2016@1.48@1.406@12.0@11.4@shadowpay@skinwallet@9.92
Sticker | Fnatic (Holo) | Katowice 2015@158.0@150.1@185.0@175.75@shadowpay@skinwallet@17.75
Sticker | G2 Esports | Cologne 2016@6.62@6.289@200.0@190.0@shadowpay@skinwallet@183.38
Sticker | IHC Esports (Holo) | Rio 2022@1.1@1.045@4.17@3.9615@shadowpay@skinwallet@2.86
Sticker | Natus Vincere (Holo) | Katowice 2015@510.0@484.5@750.0@712.5@shadowpay@skinwallet@202.5
Sticker | Ninjas in Pyjamas (Gold) | Antwerp 2022@2.93@2.7835@7.11@6.7545@shadowpay@skinwallet@3.82
Sticker | Ninjas in Pyjamas (Holo) | Katowice 2015@97.0@92.15@110.0@104.5@shadowpay@skinwallet@7.5
Sticker | Nuke Beast@0.23@0.2185@14.0@13.3@shadowpay@skinwallet@13.07
Sticker | rain (Holo, Champion) | Antwerp 2022@1.08@1.026@3.66@3.477@shadowpay@skinwallet@2.4
Sticker | rain | Cologne 2016@20.6@19.57@34.5@32.775@shadowpay@skinwallet@12.17
Sticker | rain | London 2018@1.4@1.3299999999999998@44.5@42.275@shadowpay@skinwallet@40.88
Sticker | Team Spirit (Holo) | Stockholm 2021@4.36@4.142@9.72@9.234@shadowpay@skinwallet@4.87
Stockholm 2021 Challengers Sticker Capsule@7.34@6.973@15.0@14.25@shadowpay@skinwallet@6.91
Stockholm 2021 Contenders Sticker Capsule@5.47@5.1965@10.0@9.5@shadowpay@skinwallet@4.03
Stockholm 2021 Dust II Souvenir Package@8.31@7.8945@100.0@95.0@shadowpay@skinwallet@86.69
Stockholm 2021 Mirage Souvenir Package@3.48@3.306@50.0@47.5@shadowpay@skinwallet@44.02
USP-S | Overgrowth (Minimal Wear)@27.62@26.239@62.0@58.9@shadowpay@skinwallet@31.28
XM1014 | Teclu Burner (Factory New)@1.88@1.7859999999999998@4.87@4.6265@shadowpay@skinwallet@2.75
