name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Aquamarine Revenge (Field-Tested)@27.11@23.8568@33.84@33.1632@skinport@csdeals@6.05
AK-47 | Aquamarine Revenge (Minimal Wear)@47.0@41.36@55.0@53.9@skinport@csdeals@6.9
AK-47 | Asiimov (Battle-Scarred)@20.25@17.82@24.51@24.0198@skinport@csdeals@3.77
AK-47 | Asiimov (Minimal Wear)@41.92@36.8896@48.88@47.9024@skinport@csdeals@5.98
AK-47 | Baroque Purple (Well-Worn)@4.0@3.52@9.0@8.82@skinport@csdeals@4.82
AK-47 | Bloodsport (Field-Tested)@76.78@67.5664@100.19@98.1862@skinport@csdeals@21.41
AK-47 | Blue Laminate (Field-Tested)@7.6@6.688@10.99@10.7702@skinport@csdeals@3.17
AK-47 | Blue Laminate (Minimal Wear)@9.37@8.2456@28.95@28.371@skinport@csdeals@19.0
AK-47 | Cartel (Factory New)@22.02@19.3776@32.79@32.1342@skinport@csdeals@10.11
AK-47 | Cartel (Field-Tested)@6.43@5.658399999999999@9.0@8.82@skinport@csdeals@2.39
AK-47 | Case Hardened (Field-Tested)@229.24@201.7312@389.66@381.8668@skinport@csdeals@152.63
AK-47 | Case Hardened (Well-Worn)@177.73@156.4024@184.9@181.202@skinport@csdeals@3.47
AK-47 | Elite Build (Factory New)@4.3@3.784@27.0@26.46@skinport@csdeals@22.16
AK-47 | Fire Serpent (Battle-Scarred)@541.88@476.8544@744.9@730.002@skinport@csdeals@188.12
AK-47 | Frontside Misty (Field-Tested)@12.92@11.3696@25.0@24.5@skinport@csdeals@11.58
AK-47 | Frontside Misty (Well-Worn)@12.19@10.7272@38.0@37.24@skinport@csdeals@25.05
AK-47 | Fuel Injector (Battle-Scarred)@79.25@69.74@109.9@107.702@skinport@csdeals@28.45
AK-47 | Fuel Injector (Field-Tested)@147.04@129.3952@190.0@186.2@skinport@csdeals@39.16
AK-47 | Fuel Injector (Minimal Wear)@221.47@194.8936@289.99@284.1902@skinport@csdeals@62.72
AK-47 | Fuel Injector (Well-Worn)@99.9@87.912@110.0@107.8@skinport@csdeals@7.9
AK-47 | Head Shot (Factory New)@216.79@190.7752@489.86@480.0628@skinport@csdeals@263.27
AK-47 | Head Shot (Field-Tested)@41.32@36.3616@71.07@69.64859999999999@skinport@csdeals@28.33
AK-47 | Ice Coaled (Factory New)@31.74@27.9312@39.99@39.1902@skinport@csdeals@7.45
AK-47 | Jaguar (Minimal Wear)@44.79@39.4152@52.33@51.2834@skinport@csdeals@6.49
AK-47 | Leet Museo (Field-Tested)@16.89@14.8632@22.26@21.8148@skinport@csdeals@4.92
AK-47 | Legion of Anubis (Factory New)@20.91@18.4008@27.89@27.3322@skinport@csdeals@6.42
AK-47 | Neon Revolution (Field-Tested)@15.0@13.2@30.0@29.4@skinport@csdeals@14.4
AK-47 | Neon Revolution (Minimal Wear)@23.99@21.1112@35.0@34.3@skinport@csdeals@10.31
AK-47 | Neon Rider (Factory New)@118.3@104.104@130.99@128.3702@skinport@csdeals@10.07
AK-47 | Neon Rider (Minimal Wear)@56.75@49.94@62.99@61.7302@skinport@csdeals@4.98
AK-47 | Nightwish (Well-Worn)@12.8@11.264@16.99@16.650199999999998@skinport@csdeals@3.85
AK-47 | Orbit Mk01 (Factory New)@20.0@17.6@30.77@30.1546@skinport@csdeals@10.15
AK-47 | Orbit Mk01 (Minimal Wear)@11.9@10.472@16.29@15.964199999999998@skinport@csdeals@4.06
AK-47 | Panthera onca (Well-Worn)@180.73@159.0424@187.99@184.2302@skinport@csdeals@3.5
AK-47 | Phantom Disruptor (Factory New)@10.87@9.5656@15.8@15.484@skinport@csdeals@4.61
AK-47 | Point Disarray (Factory New)@23.79@20.9352@26.99@26.4502@skinport@csdeals@2.66
AK-47 | Rat Rod (Factory New)@9.17@8.0696@50.0@49.0@skinport@csdeals@39.83
AK-47 | Red Laminate (Field-Tested)@28.81@25.3528@50.09@49.0882@skinport@csdeals@20.28
AK-47 | Red Laminate (Minimal Wear)@55.58@48.9104@59.0@57.82@skinport@csdeals@2.24
AK-47 | Redline (Minimal Wear)@71.66@63.0608@80.17@78.5666@skinport@csdeals@6.91
AK-47 | Slate (Factory New)@7.58@6.6704@9.99@9.7902@skinport@csdeals@2.21
AK-47 | Slate (Minimal Wear)@3.68@3.2384@6.0@5.88@skinport@csdeals@2.2
AK-47 | Steel Delta (Field-Tested)@1.76@1.5488@4.7@4.606@skinport@csdeals@2.85
AK-47 | Steel Delta (Minimal Wear)@3.1@2.728@25.0@24.5@skinport@csdeals@21.4
AK-47 | The Empress (Battle-Scarred)@17.78@15.646400000000002@30.0@29.4@skinport@csdeals@11.62
AK-47 | The Empress (Field-Tested)@25.25@22.22@29.29@28.7042@skinport@csdeals@3.45
AK-47 | The Empress (Minimal Wear)@41.69@36.6872@47.79@46.8342@skinport@csdeals@5.14
AK-47 | The Empress (Well-Worn)@19.13@16.8344@26.99@26.4502@skinport@csdeals@7.32
AK-47 | Vulcan (Factory New)@759.3@668.184@1075.07@1053.5685999999998@skinport@csdeals@294.27
AK-47 | Vulcan (Minimal Wear)@454.01@399.5288@489.9@480.102@skinport@csdeals@26.09
AK-47 | Wasteland Rebel (Field-Tested)@23.62@20.7856@44.53@43.6394@skinport@csdeals@20.02
Antwerp 2022 Dust II Souvenir Package@15.91@14.0008@33.41@32.7418@skinport@csdeals@16.83
Antwerp 2022 Inferno Souvenir Package@3.27@2.8776@6.1@5.978@skinport@csdeals@2.71
Antwerp 2022 Nuke Souvenir Package@4.04@3.5552@20.0@19.6@skinport@csdeals@15.56
Antwerp 2022 Vertigo Souvenir Package@7.62@6.7056@15.0@14.7@skinport@csdeals@7.08
Anubis Collection Package@1.69@1.4872@4.0@3.92@skinport@csdeals@2.23
Atlanta 2017 Cobblestone Souvenir Package@1203.95@1059.476@2672.0@2618.56@skinport@csdeals@1414.61
AUG | Arctic Wolf (Minimal Wear)@3.88@3.4144@8.0@7.84@skinport@csdeals@3.96
AUG | Aristocrat (Factory New)@2.44@2.1472@17.0@16.66@skinport@csdeals@14.22
AUG | Chameleon (Factory New)@5.56@4.892799999999999@24.0@23.52@skinport@csdeals@17.96
AUG | Daedalus (Factory New)@3.34@2.9392@22.0@21.56@skinport@csdeals@18.22
AUG | Flame Jörmungandr (Factory New)@303.82@267.3616@390.0@382.2@skinport@csdeals@78.38
AUG | Midnight Lily (Factory New)@249.73@219.7624@380.0@372.4@skinport@csdeals@122.67
AUG | Midnight Lily (Minimal Wear)@326.88@287.6544@350.0@343.0@skinport@csdeals@16.12
AUG | Plague (Factory New)@0.76@0.6688000000000001@12.0@11.76@skinport@csdeals@11.0
AUG | Ricochet (Factory New)@1.46@1.2848@7.0@6.859999999999999@skinport@csdeals@5.4
AUG | Wings (Factory New)@17.49@15.3912@30.0@29.4@skinport@csdeals@11.91
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016@34.53@30.3864@70.0@68.6@skinport@csdeals@34.07
Autograph Capsule | Cloud9 | Cluj-Napoca 2015@8.46@7.444800000000001@19.0@18.62@skinport@csdeals@10.16
Autograph Capsule | Cloud9 G2A | Cologne 2015@7.85@6.908@18.0@17.64@skinport@csdeals@9.79
Autograph Capsule | Fnatic | Cluj-Napoca 2015@4.7@4.136@9.0@8.82@skinport@csdeals@4.12
Autograph Capsule | Gambit Gaming | Atlanta 2017@7.87@6.9256@16.0@15.68@skinport@csdeals@7.81
Autograph Capsule | Gambit Gaming | MLG Columbus 2016@5.55@4.884@11.0@10.78@skinport@csdeals@5.23
Autograph Capsule | Legends (Foil) | MLG Columbus 2016@24.26@21.3488@50.0@49.0@skinport@csdeals@24.74
Autograph Capsule | Ninjas in Pyjamas | Cologne 2015@3.27@2.8776@7.0@6.859999999999999@skinport@csdeals@3.59
Autograph Capsule | Renegades | Cologne 2015@7.09@6.2392@18.0@17.64@skinport@csdeals@10.55
Autograph Capsule | Team EnVyUs | Atlanta 2017@15.57@13.7016@24.0@23.52@skinport@csdeals@7.95
Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015@4.03@3.5464@10.0@9.8@skinport@csdeals@5.77
Autograph Capsule | Team EnVyUs | Cologne 2015@4.33@3.8104@11.0@10.78@skinport@csdeals@6.45
Autograph Capsule | Titan | Cluj-Napoca 2015@12.44@10.9472@35.0@34.3@skinport@csdeals@21.86
Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015@6.62@5.8256000000000006@20.0@19.6@skinport@csdeals@12.98
AWP | Asiimov (Field-Tested)@134.99@118.7912@149.99@146.99020000000002@skinport@csdeals@12.0
AWP | Asiimov (Well-Worn)@100.16@88.1408@110.0@107.8@skinport@csdeals@7.64
AWP | Atheris (Minimal Wear)@5.12@4.5056@8.86@8.682799999999999@skinport@csdeals@3.56
AWP | BOOM (Field-Tested)@70.55@62.084@99.9@97.902@skinport@csdeals@27.35
AWP | Containment Breach (Minimal Wear)@136.07@119.7416@190.61@186.7978@skinport@csdeals@50.73
AWP | Containment Breach (Well-Worn)@58.97@51.8936@65.0@63.7@skinport@csdeals@4.73
AWP | Corticera (Minimal Wear)@13.04@11.4752@16.99@16.650199999999998@skinport@csdeals@3.61
AWP | Duality (Minimal Wear)@15.58@13.7104@35.27@34.564600000000006@skinport@csdeals@18.98
AWP | Electric Hive (Factory New)@63.13@55.5544@80.0@78.4@skinport@csdeals@15.27
AWP | Elite Build (Field-Tested)@12.3@10.824@15.6@15.288@skinport@csdeals@2.99
AWP | Elite Build (Minimal Wear)@16.04@14.1152@20.99@20.5702@skinport@csdeals@4.53
AWP | Fever Dream (Battle-Scarred)@6.01@5.2888@8.9@8.722@skinport@csdeals@2.71
AWP | Graphite (Factory New)@187.14@164.6832@225.0@220.5@skinport@csdeals@33.36
AWP | Hyper Beast (Minimal Wear)@50.29@44.2552@55.0@53.9@skinport@csdeals@3.61
AWP | Hyper Beast (Well-Worn)@20.05@17.644000000000002@24.99@24.4902@skinport@csdeals@4.44
AWP | Lightning Strike (Factory New)@545.25@479.82@600.0@588.0@skinport@csdeals@42.75
AWP | Mortis (Minimal Wear)@3.42@3.0096@7.0@6.859999999999999@skinport@csdeals@3.44
AWP | Neo-Noir (Battle-Scarred)@19.54@17.1952@29.9@29.302@skinport@csdeals@9.76
AWP | Neo-Noir (Factory New)@34.49@30.3512@39.99@39.1902@skinport@csdeals@4.7
AWP | Neo-Noir (Minimal Wear)@26.0@22.88@32.48@31.8304@skinport@csdeals@5.83
AWP | Oni Taiji (Factory New)@623.22@548.4336000000001@685.0@671.3@skinport@csdeals@48.08
AWP | Oni Taiji (Minimal Wear)@422.9@372.152@619.9@607.502@skinport@csdeals@184.6
AWP | Redline (Field-Tested)@34.76@30.5888@38.97@38.1906@skinport@csdeals@3.43
AWP | Redline (Minimal Wear)@61.53@54.1464@65.0@63.7@skinport@csdeals@2.17
AWP | Sun in Leo (Factory New)@22.12@19.4656@28.44@27.8712@skinport@csdeals@5.75
AWP | Sun in Leo (Minimal Wear)@16.7@14.696@22.99@22.5302@skinport@csdeals@5.83
AWP | Wildfire (Battle-Scarred)@28.81@25.3528@32.0@31.36@skinport@csdeals@2.55
AWP | Wildfire (Factory New)@143.89@126.62319999999998@187.5@183.75@skinport@csdeals@39.86
AWP | Wildfire (Field-Tested)@54.52@47.9776@64.55@63.25899999999999@skinport@csdeals@8.74
AWP | Wildfire (Well-Worn)@51.28@45.1264@58.99@57.8102@skinport@csdeals@6.53
AWP | Worm God (Well-Worn)@1.34@1.1792@4.0@3.92@skinport@csdeals@2.58
★ Bayonet | Autotronic (Field-Tested)@567.56@499.4528@658.9@645.722@skinport@csdeals@78.16
★ Bayonet | Fade (Factory New)@1097.84@966.0992@1245.0@1220.1@skinport@csdeals@122.26
★ Bayonet | Lore (Field-Tested)@600.87@528.7656000000001@629.99@617.3902@skinport@csdeals@16.52
★ Bayonet | Rust Coat (Battle-Scarred)@268.63@236.3944@309.99@303.7902@skinport@csdeals@35.16
★ Bayonet | Safari Mesh (Field-Tested)@222.58@195.8704@240.0@235.2@skinport@csdeals@12.62
★ Bayonet | Safari Mesh (Minimal Wear)@280.0@246.4@556.66@545.5268@skinport@csdeals@265.53
★ Bayonet | Slaughter (Minimal Wear)@545.19@479.76720000000006@668.01@654.6498@skinport@csdeals@109.46
★ Bayonet | Tiger Tooth (Factory New)@674.95@593.956@749.99@734.9902@skinport@csdeals@60.04
★ Bloodhound Gloves | Bronzed (Field-Tested)@75.0@66.0@80.0@78.4@skinport@csdeals@3.4
★ Bloodhound Gloves | Charred (Field-Tested)@101.47@89.2936@109.9@107.702@skinport@csdeals@6.23
Bloody Darryl The Strapped | The Professionals@16.24@14.291199999999998@19.99@19.5902@skinport@csdeals@3.35
Boston 2018 Cobblestone Souvenir Package@1028.9@905.432@1130.33@1107.7234@skinport@csdeals@78.82
Boston 2018 Returning Challengers Autograph Capsule@16.89@14.8632@25.12@24.6176@skinport@csdeals@7.73
★ Bowie Knife | Marble Fade (Factory New)@371.46@326.8848@545.54@534.6292@skinport@csdeals@163.17
★ Bowie Knife | Tiger Tooth (Factory New)@298.76@262.9088@314.89@308.5922@skinport@csdeals@9.83
★ Broken Fang Gloves | Needle Point (Factory New)@478.54@421.1152@550.0@539.0@skinport@csdeals@60.46
★ Broken Fang Gloves | Needle Point (Field-Tested)@55.9@49.192@64.99@63.6902@skinport@csdeals@7.79
★ Broken Fang Gloves | Yellow-banded (Field-Tested)@82.9@72.95200000000001@89.99@88.19019999999999@skinport@csdeals@5.29
★ Butterfly Knife | Bright Water (Factory New)@1100.15@968.132@1200.0@1176.0@skinport@csdeals@75.85
★ Butterfly Knife | Case Hardened (Well-Worn)@800.0@704.0@949.9@930.902@skinport@csdeals@130.9
★ Butterfly Knife | Lore (Field-Tested)@1669.34@1469.0192@2099.99@2057.9902@skinport@csdeals@388.65
★ Butterfly Knife | Rust Coat (Battle-Scarred)@683.76@601.7088@799.99@783.9902@skinport@csdeals@100.23
★ Butterfly Knife | Ultraviolet (Field-Tested)@825.0@726.0@1099.99@1077.9902@skinport@csdeals@252.99
Chroma 2 Case Key@15.04@13.2352@30.0@29.4@skinport@csdeals@14.36
★ Classic Knife@410.65@361.372@499.99@489.9902@skinport@csdeals@79.34
★ Classic Knife | Boreal Forest (Field-Tested)@141.59@124.5992@159.95@156.75099999999998@skinport@csdeals@15.16
★ Classic Knife | Crimson Web (Field-Tested)@354.62@312.0656@408.01@399.8498@skinport@csdeals@45.23
★ Classic Knife | Fade (Factory New)@800.0@704.0@879.9@862.3019999999999@skinport@csdeals@62.3
Cmdr. Davida 'Goggles' Fernandez | SEAL Frogman@49.9@43.912@54.99@53.8902@skinport@csdeals@3.99
