name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Asiimov (Factory New)@183.63@161.5944@214.48@203.756@skinport@shadowpay@20.13
AK-47 | Asiimov (Minimal Wear)@41.92@36.8896@47.52@45.144@skinport@shadowpay@3.22
AK-47 | Bloodsport (Minimal Wear)@83.64@73.6032@93.34@88.673@skinport@shadowpay@5.03
AK-47 | Bloodsport (Well-Worn)@75.0@66.0@88.67@84.23649999999999@skinport@shadowpay@9.24
AK-47 | Case Hardened (Battle-Scarred)@160.62@141.34560000000002@179.15@170.1925@skinport@shadowpay@9.57
AK-47 | Case Hardened (Factory New)@367.24@323.1712@419.54@398.563@skinport@shadowpay@31.32
AK-47 | Case Hardened (Field-Tested)@229.24@201.7312@248.91@236.4645@skinport@shadowpay@7.22
AK-47 | Case Hardened (Minimal Wear)@252.93@222.5784@299.99@284.9905@skinport@shadowpay@32.06
AK-47 | Case Hardened (Well-Worn)@177.73@156.4024@197.49@187.6155@skinport@shadowpay@9.89
AK-47 | Fire Serpent (Well-Worn)@823.53@724.7064@970.0@921.5@skinport@shadowpay@97.97
AK-47 | First Class (Battle-Scarred)@55.09@48.479200000000006@77.0@73.14999999999999@skinport@shadowpay@18.06
AK-47 | Fuel Injector (Battle-Scarred)@79.25@69.74@90.09@85.5855@skinport@shadowpay@6.34
AK-47 | Fuel Injector (Factory New)@438.77@386.1176@470.34@446.823@skinport@shadowpay@8.05
AK-47 | Fuel Injector (Minimal Wear)@221.47@194.8936@239.97@227.9715@skinport@shadowpay@6.5
AK-47 | Gold Arabesque (Minimal Wear)@3577.42@3148.1296@3897.73@3702.8435@skinport@shadowpay@125.42
AK-47 | Green Laminate (Field-Tested)@12.01@10.5688@15.0@14.25@skinport@shadowpay@2.24
AK-47 | Head Shot (Well-Worn)@22.91@20.1608@26.59@25.2605@skinport@shadowpay@2.35
AK-47 | Hydroponic (Factory New)@2070.23@1821.8024@2200.0@2090.0@skinport@shadowpay@19.77
AK-47 | Hydroponic (Field-Tested)@890.31@783.4728@1099.99@1044.9905@skinport@shadowpay@154.68
AK-47 | Hydroponic (Minimal Wear)@1445.77@1272.2776@1750.0@1662.5@skinport@shadowpay@216.73
AK-47 | Jaguar (Factory New)@175.84@154.7392@282.93@268.7835@skinport@shadowpay@92.94
AK-47 | Jaguar (Minimal Wear)@44.79@39.4152@49.82@47.329@skinport@shadowpay@2.54
AK-47 | Neon Rider (Well-Worn)@32.39@28.5032@36.89@35.0455@skinport@shadowpay@2.66
AK-47 | Panthera onca (Field-Tested)@210.0@184.8@230.0@218.5@skinport@shadowpay@8.5
AK-47 | Predator (Battle-Scarred)@13.17@11.5896@16.08@15.275999999999998@skinport@shadowpay@2.11
AK-47 | Red Laminate (Field-Tested)@28.81@25.3528@35.35@33.5825@skinport@shadowpay@4.77
AK-47 | Vulcan (Battle-Scarred)@80.68@70.9984@97.31@92.4445@skinport@shadowpay@11.76
AK-47 | Vulcan (Factory New)@759.3@668.184@849.99@807.4905@skinport@shadowpay@48.19
AK-47 | Vulcan (Field-Tested)@228.0@200.64@244.9@232.655@skinport@shadowpay@4.66
AK-47 | Wild Lotus (Well-Worn)@5542.94@4877.7872@6990.0@6640.5@skinport@shadowpay@1097.56
AK-47 | X-Ray (Factory New)@2531.02@2227.2976@5050.0@4797.5@skinport@shadowpay@2266.48
AK-47 | X-Ray (Well-Worn)@500.0@440.0@555.0@527.25@skinport@shadowpay@27.25
Alyx Pin@32.0@28.16@42.85@40.7075@skinport@shadowpay@8.71
AUG | Akihabara Accept (Battle-Scarred)@288.04@253.47520000000003@339.89@322.8955@skinport@shadowpay@34.86
AUG | Akihabara Accept (Field-Tested)@834.66@734.5008@889.86@845.367@skinport@shadowpay@10.71
AUG | Akihabara Accept (Well-Worn)@399.99@351.9912@717.85@681.9575@skinport@shadowpay@281.97
AUG | Carved Jade (Field-Tested)@14.4@12.672@17.53@16.6535@skinport@shadowpay@2.25
AUG | Death by Puppy (Factory New)@10.82@9.5216@14.91@14.1645@skinport@shadowpay@3.34
AUG | Hot Rod (Factory New)@354.46@311.9248@661.26@628.197@skinport@shadowpay@273.74
AUG | Midnight Lily (Factory New)@249.73@219.7624@474.45@450.7275@skinport@shadowpay@201.0
AUG | Midnight Lily (Minimal Wear)@326.88@287.6544@467.89@444.4955@skinport@shadowpay@117.62
AUG | Momentum (Factory New)@25.0@22.0@42.22@40.109@skinport@shadowpay@15.11
AUG | Sand Storm (Factory New)@73.44@64.6272@86.75@82.4125@skinport@shadowpay@8.97
AUG | Sand Storm (Minimal Wear)@66.76@58.7488@99.88@94.886@skinport@shadowpay@28.13
Autograph Capsule | Cloud9 G2A | Cologne 2015@7.85@6.908@11.0@10.45@skinport@shadowpay@2.6
Autograph Capsule | FaZe Clan | MLG Columbus 2016@3.44@3.0272@6.14@5.832999999999999@skinport@shadowpay@2.39
Autograph Capsule | G2 Esports | Cluj-Napoca 2015@3.84@3.3792@6.31@5.9945@skinport@shadowpay@2.15
Autograph Capsule | Group A (Foil) | Cologne 2015@17.33@15.2504@24.18@22.971@skinport@shadowpay@5.64
Autograph Capsule | HellRaisers | Atlanta 2017@7.5@6.6@11.23@10.6685@skinport@shadowpay@3.17
Autograph Capsule | Luminosity Gaming | MLG Columbus 2016@4.77@4.1976@7.31@6.9445@skinport@shadowpay@2.17
Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015@6.62@5.8256000000000006@32.75@31.1125@skinport@shadowpay@24.49
AWP | BOOM (Field-Tested)@70.55@62.084@79.96@75.96199999999999@skinport@shadowpay@5.41
AWP | Chromatic Aberration (Minimal Wear)@20.35@17.908@24.02@22.819@skinport@shadowpay@2.47
AWP | Containment Breach (Factory New)@527.31@464.0328@626.46@595.1370000000001@skinport@shadowpay@67.83
AWP | Containment Breach (Field-Tested)@76.78@67.5664@83.75@79.5625@skinport@shadowpay@2.78
AWP | Containment Breach (Minimal Wear)@136.07@119.7416@162.74@154.603@skinport@shadowpay@18.53
AWP | Containment Breach (Well-Worn)@58.97@51.8936@76.38@72.56099999999999@skinport@shadowpay@13.59
AWP | Desert Hydra (Field-Tested)@2020.01@1777.6088@2539.98@2412.981@skinport@shadowpay@392.97
AWP | Dragon Lore (Field-Tested)@6610.57@5817.3016@7183.99@6824.790499999999@skinport@shadowpay@214.22
AWP | Electric Hive (Factory New)@63.13@55.5544@71.73@68.1435@skinport@shadowpay@5.01
AWP | Fade (Factory New)@1122.91@988.1608@1195.0@1135.25@skinport@shadowpay@12.34
AWP | Graphite (Factory New)@187.14@164.6832@204.9@194.655@skinport@shadowpay@7.52
AWP | Graphite (Minimal Wear)@194.74@171.37120000000002@219.1@208.145@skinport@shadowpay@13.4
