name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Blue Laminate (Minimal Wear)@9.37@8.2456@17.86@16.967@skinport@skinwallet@7.6
AK-47 | Emerald Pinstripe (Well-Worn)@5.15@4.532@14.87@14.126499999999998@skinport@skinwallet@8.98
AK-47 | Predator (Minimal Wear)@17.44@15.3472@33.86@32.166999999999994@skinport@skinwallet@14.73
AUG | Stymphalian (Factory New)@10.39@9.1432@16.87@16.0265@skinport@skinwallet@5.64
AWP | Corticera (Minimal Wear)@13.04@11.4752@33.76@32.072@skinport@skinwallet@19.03
AWP | Electric Hive (Factory New)@63.13@55.5544@110.0@104.5@skinport@skinwallet@41.37
AWP | Graphite (Minimal Wear)@194.74@171.37120000000002@294.79@280.0505@skinport@skinwallet@85.31
AWP | Redline (Field-Tested)@34.76@30.5888@48.42@45.999@skinport@skinwallet@11.24
AWP | Redline (Minimal Wear)@61.53@54.1464@400.0@380.0@skinport@skinwallet@318.47
★ Bayonet | Doppler (Factory New)@625.0@550.0@835.0@793.25@skinport@skinwallet@168.25
★ Broken Fang Gloves | Yellow-banded (Battle-Scarred)@69.0@60.72@130.0@123.5@skinport@skinwallet@54.5
Community Capsule 2018@1.39@1.2231999999999998@4.0@3.8@skinport@skinwallet@2.41
Desert Eagle | Golden Koi (Factory New)@80.12@70.5056@99.8@94.81@skinport@skinwallet@14.69
Desert Eagle | Heirloom (Field-Tested)@5.33@4.6904@250.0@237.5@skinport@skinwallet@232.17
★ Falchion Knife | Rust Coat (Battle-Scarred)@111.29@97.9352@170.0@161.5@skinport@skinwallet@50.21
FAMAS | Styx (Well-Worn)@6.84@6.0192@9.87@9.376499999999998@skinport@skinwallet@2.54
FAMAS | ZX Spectron (Factory New)@10.0@8.8@13.87@13.1765@skinport@skinwallet@3.18
Five-SeveN | Case Hardened (Field-Tested)@13.5@11.88@28.76@27.322@skinport@skinwallet@13.82
