name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Aquamarine Revenge (Field-Tested)@23.13@21.9735@33.84@33.1632@skinwallet@csdeals@10.03
AK-47 | Asiimov (Minimal Wear)@39.33@37.3635@48.88@47.9024@skinwallet@csdeals@8.57
AK-47 | Asiimov (Well-Worn)@22.18@21.071@33.49@32.8202@skinwallet@csdeals@10.64
AK-47 | Baroque Purple (Minimal Wear)@3.83@3.6385@6.0@5.88@skinwallet@csdeals@2.05
AK-47 | Baroque Purple (Well-Worn)@3.08@2.926@9.0@8.82@skinwallet@csdeals@5.74
AK-47 | Blue Laminate (Minimal Wear)@17.86@16.967@28.95@28.371@skinwallet@csdeals@10.51
AK-47 | Cartel (Field-Tested)@4.92@4.674@9.0@8.82@skinwallet@csdeals@3.9
AK-47 | Elite Build (Factory New)@3.53@3.3534999999999995@27.0@26.46@skinwallet@csdeals@22.93
AK-47 | Frontside Misty (Well-Worn)@9.22@8.759@38.0@37.24@skinwallet@csdeals@28.02
AK-47 | Fuel Injector (Minimal Wear)@195.19@185.4305@289.99@284.1902@skinwallet@csdeals@89.0
AK-47 | Green Laminate (Factory New)@12.81@12.1695@17.99@17.6302@skinwallet@csdeals@4.82
AK-47 | Head Shot (Well-Worn)@18.1@17.195@24.0@23.52@skinwallet@csdeals@5.42
AK-47 | Legion of Anubis (Factory New)@17.41@16.5395@27.89@27.3322@skinwallet@csdeals@9.92
AK-47 | Legion of Anubis (Field-Tested)@6.81@6.469499999999999@9.47@9.2806@skinwallet@csdeals@2.47
AK-47 | Legion of Anubis (Minimal Wear)@9.38@8.911@12.99@12.7302@skinwallet@csdeals@3.35
AK-47 | Neon Revolution (Field-Tested)@11.55@10.9725@30.0@29.4@skinwallet@csdeals@17.85
AK-47 | Nightwish (Field-Tested)@13.25@12.5875@18.0@17.64@skinwallet@csdeals@4.39
AK-47 | Nightwish (Minimal Wear)@30.33@28.8135@35.76@35.044799999999995@skinwallet@csdeals@4.71
AK-47 | Nightwish (Well-Worn)@9.64@9.158@16.99@16.650199999999998@skinwallet@csdeals@7.01
AK-47 | Phantom Disruptor (Factory New)@7.82@7.429@15.8@15.484@skinwallet@csdeals@7.66
AK-47 | Phantom Disruptor (Minimal Wear)@4.86@4.617@7.33@7.1834@skinwallet@csdeals@2.32
AK-47 | Point Disarray (Factory New)@20.53@19.5035@26.99@26.4502@skinwallet@csdeals@5.92
AK-47 | Redline (Field-Tested)@14.15@13.4425@17.04@16.699199999999998@skinwallet@csdeals@2.55
AK-47 | Slate (Factory New)@6.64@6.308@9.99@9.7902@skinwallet@csdeals@3.15
AK-47 | Slate (Minimal Wear)@2.68@2.546@6.0@5.88@skinwallet@csdeals@3.2
AK-47 | Steel Delta (Factory New)@3.37@3.2015@6.59@6.4582@skinwallet@csdeals@3.09
AK-47 | Steel Delta (Field-Tested)@1.33@1.2635@4.7@4.606@skinwallet@csdeals@3.28
AK-47 | Steel Delta (Minimal Wear)@1.98@1.881@25.0@24.5@skinwallet@csdeals@22.52
AK-47 | The Empress (Field-Tested)@21.09@20.0355@29.29@28.7042@skinwallet@csdeals@7.61
AK-47 | The Empress (Well-Worn)@16.27@15.456499999999998@26.99@26.4502@skinwallet@csdeals@10.18
AK-47 | Vulcan (Minimal Wear)@392.89@373.2455@489.9@480.102@skinwallet@csdeals@87.21
AK-47 | Wasteland Rebel (Minimal Wear)@33.07@31.4165@37.55@36.799@skinwallet@csdeals@3.73
Anubis Collection Package@1.24@1.178@4.0@3.92@skinwallet@csdeals@2.68
AUG | Arctic Wolf (Minimal Wear)@1.93@1.8335@8.0@7.84@skinwallet@csdeals@5.91
AUG | Aristocrat (Factory New)@1.19@1.1304999999999998@17.0@16.66@skinwallet@csdeals@15.47
AUG | Daedalus (Factory New)@2.29@2.1755@22.0@21.56@skinwallet@csdeals@19.27
AUG | Fleet Flock (Well-Worn)@1.28@1.216@3.5@3.43@skinwallet@csdeals@2.15
AUG | Plague (Factory New)@0.67@0.6365@12.0@11.76@skinwallet@csdeals@11.09
AUG | Ricochet (Factory New)@0.51@0.4845@7.0@6.859999999999999@skinwallet@csdeals@6.35
AWP | Asiimov (Battle-Scarred)@67.31@63.9445@79.0@77.42@skinwallet@csdeals@10.11
AWP | Asiimov (Well-Worn)@86.23@81.9185@110.0@107.8@skinwallet@csdeals@21.57
AWP | Atheris (Factory New)@8.76@8.322@12.0@11.76@skinwallet@csdeals@3.0
AWP | Atheris (Minimal Wear)@3.55@3.3725@8.86@8.682799999999999@skinwallet@csdeals@5.13
AWP | Duality (Battle-Scarred)@5.29@5.0255@7.47@7.3206@skinwallet@csdeals@2.03
AWP | Duality (Minimal Wear)@12.46@11.837@35.27@34.564600000000006@skinwallet@csdeals@22.1
AWP | Elite Build (Battle-Scarred)@9.32@8.854@11.78@11.5444@skinwallet@csdeals@2.22
AWP | Hyper Beast (Field-Tested)@26.13@24.8235@32.0@31.36@skinwallet@csdeals@5.23
AWP | Hyper Beast (Well-Worn)@18.28@17.366@24.99@24.4902@skinwallet@csdeals@6.21
AWP | Man-o'-war (Minimal Wear)@29.93@28.4335@35.0@34.3@skinwallet@csdeals@4.37
AWP | Mortis (Minimal Wear)@2.48@2.356@7.0@6.859999999999999@skinwallet@csdeals@4.38
AWP | Neo-Noir (Factory New)@29.13@27.6735@39.99@39.1902@skinwallet@csdeals@10.06
AWP | POP AWP (Factory New)@4.07@3.8665@8.39@8.2222@skinwallet@csdeals@4.15
AWP | Safari Mesh (Factory New)@2.17@2.0615@4.49@4.4002@skinwallet@csdeals@2.23
AWP | Sun in Leo (Minimal Wear)@12.42@11.799@22.99@22.5302@skinwallet@csdeals@10.11
AWP | Wildfire (Field-Tested)@47.15@44.7925@64.55@63.25899999999999@skinwallet@csdeals@16.11
AWP | Worm God (Well-Worn)@0.91@0.8644999999999999@4.0@3.92@skinwallet@csdeals@3.01
B Squadron Officer | SAS@2.97@2.8215@5.99@5.8702000000000005@skinwallet@csdeals@2.9
Baggage Pin@2.24@2.128@4.75@4.655@skinwallet@csdeals@2.42
City 17 Pin@2.36@2.242@5.0@4.9@skinwallet@csdeals@2.54
