name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Aquamarine Revenge (Field-Tested)@23.13@21.9735@28.97@27.5215@skinwallet@shadowpay@4.39
AK-47 | Asiimov (Minimal Wear)@39.33@37.3635@47.52@45.144@skinwallet@shadowpay@5.81
AK-47 | Asiimov (Well-Worn)@22.18@21.071@27.27@25.9065@skinwallet@shadowpay@3.73
AK-47 | Bloodsport (Minimal Wear)@75.06@71.307@93.34@88.673@skinwallet@shadowpay@13.61
AK-47 | Frontside Misty (Battle-Scarred)@8.18@7.770999999999999@11.75@11.1625@skinwallet@shadowpay@2.98
AK-47 | Frontside Misty (Minimal Wear)@17.03@16.1785@20.61@19.5795@skinwallet@shadowpay@2.55
AK-47 | Fuel Injector (Minimal Wear)@195.19@185.4305@239.97@227.9715@skinwallet@shadowpay@32.78
AK-47 | Green Laminate (Factory New)@12.81@12.1695@16.38@15.560999999999998@skinwallet@shadowpay@2.75
AK-47 | Head Shot (Well-Worn)@18.1@17.195@26.59@25.2605@skinwallet@shadowpay@7.16
AK-47 | Ice Coaled (Field-Tested)@6.64@6.308@9.57@9.0915@skinwallet@shadowpay@2.45
AK-47 | Ice Coaled (Well-Worn)@6.61@6.2795@9.59@9.1105@skinwallet@shadowpay@2.5
AK-47 | Legion of Anubis (Factory New)@17.41@16.5395@21.74@20.653@skinwallet@shadowpay@3.24
AK-47 | Neon Revolution (Field-Tested)@11.55@10.9725@14.35@13.6325@skinwallet@shadowpay@2.08
AK-47 | Neon Rider (Field-Tested)@27.22@25.859@33.04@31.388@skinwallet@shadowpay@4.17
AK-47 | Nightwish (Field-Tested)@13.25@12.5875@18.16@17.252@skinwallet@shadowpay@4.0
AK-47 | Nightwish (Minimal Wear)@30.33@28.8135@34.24@32.528@skinwallet@shadowpay@2.2
AK-47 | Nightwish (Well-Worn)@9.64@9.158@13.25@12.5875@skinwallet@shadowpay@2.95
AK-47 | Point Disarray (Factory New)@20.53@19.5035@25.58@24.301@skinwallet@shadowpay@3.77
AK-47 | Point Disarray (Field-Tested)@7.13@6.773499999999999@9.98@9.481@skinwallet@shadowpay@2.35
AK-47 | Point Disarray (Minimal Wear)@11.42@10.849@14.93@14.1835@skinwallet@shadowpay@2.76
AK-47 | Redline (Battle-Scarred)@8.92@8.474@11.65@11.0675@skinwallet@shadowpay@2.15
AK-47 | Redline (Field-Tested)@14.15@13.4425@17.89@16.9955@skinwallet@shadowpay@2.85
AK-47 | The Empress (Field-Tested)@21.09@20.0355@26.32@25.004@skinwallet@shadowpay@3.91
AK-47 | The Empress (Well-Worn)@16.27@15.456499999999998@22.03@20.9285@skinwallet@shadowpay@4.66
AK-47 | Vulcan (Minimal Wear)@392.89@373.2455@479.68@455.696@skinwallet@shadowpay@62.81
AK-47 | Vulcan (Well-Worn)@118.82@112.879@149.99@142.4905@skinwallet@shadowpay@23.67
AK-47 | Wasteland Rebel (Minimal Wear)@33.07@31.4165@41.12@39.06399999999999@skinwallet@shadowpay@5.99
AUG | Syd Mead (Minimal Wear)@2.09@1.9855@4.54@4.313@skinwallet@shadowpay@2.22
AWP | Asiimov (Battle-Scarred)@67.31@63.9445@80.68@76.646@skinwallet@shadowpay@9.34
AWP | Asiimov (Well-Worn)@86.23@81.9185@101.99@96.8905@skinwallet@shadowpay@10.66
AWP | Duality (Well-Worn)@7.74@7.353@11.64@11.058@skinwallet@shadowpay@3.32
AWP | Elite Build (Battle-Scarred)@9.32@8.854@13.52@12.844@skinwallet@shadowpay@3.52
AWP | Hyper Beast (Factory New)@78.87@74.9265@149.99@142.4905@skinwallet@shadowpay@63.62
AWP | Hyper Beast (Field-Tested)@26.13@24.8235@31.48@29.906@skinwallet@shadowpay@3.78
AWP | Hyper Beast (Well-Worn)@18.28@17.366@22.5@21.375@skinwallet@shadowpay@3.09
AWP | Man-o'-war (Field-Tested)@27.9@26.505@35.94@34.142999999999994@skinwallet@shadowpay@6.24
AWP | Man-o'-war (Minimal Wear)@29.93@28.4335@36.64@34.808@skinwallet@shadowpay@4.88
AWP | Neo-Noir (Factory New)@29.13@27.6735@36.06@34.257@skinwallet@shadowpay@5.13
AWP | Wildfire (Field-Tested)@47.15@44.7925@59.03@56.0785@skinwallet@shadowpay@8.93
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman@27.85@26.4575@36.81@34.969500000000004@skinwallet@shadowpay@7.12
CS:GO Weapon Case@63.89@60.6955@82.15@78.0425@skinwallet@shadowpay@14.15
CS:GO Weapon Case 3@5.85@5.557499999999999@8.82@8.379@skinwallet@shadowpay@2.53
CZ75-Auto | Emerald (Factory New)@17.31@16.444499999999998@23.16@22.002@skinwallet@shadowpay@4.69
CZ75-Auto | Victoria (Field-Tested)@4.35@4.132499999999999@6.81@6.469499999999999@skinwallet@shadowpay@2.12
Desert Eagle | Code Red (Field-Tested)@16.93@16.083499999999997@21.12@20.064@skinwallet@shadowpay@3.13
Desert Eagle | Emerald Jörmungandr (Factory New)@239.02@227.069@318.3@302.385@skinwallet@shadowpay@63.36
Desert Eagle | Midnight Storm (Factory New)@19.7@18.715@26.37@25.0515@skinwallet@shadowpay@5.35
Desert Eagle | Printstream (Battle-Scarred)@28.17@26.7615@33.9@32.205@skinwallet@shadowpay@4.03
Desert Eagle | Printstream (Field-Tested)@37.42@35.549@42.0@39.9@skinwallet@shadowpay@2.48
Desert Eagle | Printstream (Minimal Wear)@52.26@49.647@61.27@58.2065@skinwallet@shadowpay@5.95
eSports 2013 Case@29.84@28.348@43.74@41.553@skinwallet@shadowpay@11.71
FAMAS | Commemoration (Factory New)@22.91@21.7645@27.98@26.581@skinwallet@shadowpay@3.67
Five-SeveN | Anodized Gunmetal (Factory New)@6.23@5.9185@35.0@33.25@skinwallet@shadowpay@27.02
Five-SeveN | Case Hardened (Well-Worn)@10.87@10.3265@18.13@17.223499999999998@skinwallet@shadowpay@6.35
Galil AR | Shattered (Minimal Wear)@3.97@3.7715@7.0@6.65@skinwallet@shadowpay@2.68
Getaway Sally | The Professionals@27.02@25.669@31.0@29.45@skinwallet@shadowpay@2.43
Glock-18 | Brass (Minimal Wear)@22.93@21.7835@28.99@27.5405@skinwallet@shadowpay@4.61
Glock-18 | Dragon Tattoo (Factory New)@64.73@61.4935@87.41@83.03949999999999@skinwallet@shadowpay@18.31
Glock-18 | Gamma Doppler (Factory New)@34.84@33.098@45.62@43.339@skinwallet@shadowpay@8.5
Glock-18 | Gamma Doppler (Field-Tested)@20.67@19.6365@27.5@26.125@skinwallet@shadowpay@5.45
Glock-18 | Neo-Noir (Minimal Wear)@16.53@15.7035@22.5@21.375@skinwallet@shadowpay@4.84
Glock-18 | Ramese's Reach (Field-Tested)@8.46@8.037@11.99@11.3905@skinwallet@shadowpay@2.93
Huntsman Weapon Case@6.37@6.0515@9.15@8.6925@skinwallet@shadowpay@2.32
M249 | Shipping Forecast (Field-Tested)@8.22@7.809@14.65@13.9175@skinwallet@shadowpay@5.7
M4A1-S | Atomic Alloy (Field-Tested)@31.17@29.6115@41.38@39.311@skinwallet@shadowpay@8.14
M4A1-S | Atomic Alloy (Minimal Wear)@41.63@39.5485@50.78@48.241@skinwallet@shadowpay@6.61
M4A1-S | Blood Tiger (Minimal Wear)@2.48@2.356@4.86@4.617@skinwallet@shadowpay@2.14
M4A1-S | Briefing (Minimal Wear)@3.74@3.553@7.06@6.706999999999999@skinwallet@shadowpay@2.97
M4A1-S | Briefing (Well-Worn)@4.05@3.8475@8.67@8.2365@skinwallet@shadowpay@4.19
M4A1-S | Chantico's Fire (Factory New)@88.47@84.0465@179.14@170.183@skinwallet@shadowpay@81.71
M4A1-S | Chantico's Fire (Minimal Wear)@36.19@34.3805@44.98@42.731@skinwallet@shadowpay@6.54
M4A1-S | Cyrex (Factory New)@24.76@23.522@30.24@28.728@skinwallet@shadowpay@3.97
M4A1-S | Cyrex (Field-Tested)@11.83@11.2385@15.81@15.0195@skinwallet@shadowpay@3.19
M4A1-S | Cyrex (Minimal Wear)@15.85@15.0575@21.22@20.159@skinwallet@shadowpay@4.31
M4A1-S | Dark Water (Minimal Wear)@60.56@57.532@68.0@64.6@skinwallet@shadowpay@4.04
M4A1-S | Golden Coil (Field-Tested)@39.19@37.2305@50.65@48.1175@skinwallet@shadowpay@8.93
M4A1-S | Golden Coil (Minimal Wear)@68.4@64.98@83.77@79.58149999999999@skinwallet@shadowpay@11.18
M4A1-S | Golden Coil (Well-Worn)@28.22@26.809@39.43@37.4585@skinwallet@shadowpay@9.24
M4A1-S | Hyper Beast (Battle-Scarred)@9.38@8.911@12.77@12.1315@skinwallet@shadowpay@2.75
M4A1-S | Master Piece (Well-Worn)@78.19@74.28049999999999@103.19@98.0305@skinwallet@shadowpay@19.84
M4A1-S | Mecha Industries (Minimal Wear)@29.13@27.6735@38.96@37.012@skinwallet@shadowpay@7.88
M4A1-S | Nightmare (Field-Tested)@6.46@6.137@8.97@8.5215@skinwallet@shadowpay@2.06
M4A1-S | Player Two (Factory New)@78.26@74.34700000000001@93.0@88.35@skinwallet@shadowpay@10.09
M4A1-S | Printstream (Battle-Scarred)@90.42@85.899@122.4@116.28@skinwallet@shadowpay@25.86
M4A1-S | Printstream (Well-Worn)@115.01@109.2595@156.99@149.1405@skinwallet@shadowpay@34.13
M4A4 | Cyber Security (Minimal Wear)@18.91@17.9645@23.31@22.1445@skinwallet@shadowpay@3.23
M4A4 | Global Offensive (Field-Tested)@8.94@8.492999999999999@13.16@12.502@skinwallet@shadowpay@3.56
M4A4 | Hellfire (Factory New)@57.11@54.2545@70.02@66.51899999999999@skinwallet@shadowpay@9.41
M4A4 | Radiation Hazard (Field-Tested)@14.09@13.3855@17.9@17.005@skinwallet@shadowpay@2.91
M4A4 | Temukau (Battle-Scarred)@10.41@9.8895@13.99@13.2905@skinwallet@shadowpay@2.88
M4A4 | Temukau (Field-Tested)@23.47@22.2965@27.8@26.41@skinwallet@shadowpay@2.94
M4A4 | The Battlestar (Factory New)@11.28@10.716@15.31@14.5445@skinwallet@shadowpay@3.26
M4A4 | The Emperor (Minimal Wear)@31.3@29.735@38.93@36.9835@skinwallet@shadowpay@5.68
MAC-10 | Propaganda (Minimal Wear)@13.57@12.8915@22.73@21.5935@skinwallet@shadowpay@8.02
MAG-7 | Bulldozer (Minimal Wear)@10.28@9.765999999999998@13.9@13.205@skinwallet@shadowpay@2.93
MAG-7 | Chainmail (Minimal Wear)@12.54@11.912999999999998@32.66@31.026999999999997@skinwallet@shadowpay@18.49
MAG-7 | Praetorian (Minimal Wear)@1.76@1.672@8.85@8.407499999999999@skinwallet@shadowpay@6.65
