name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Blueberries' Buckshot | NSWC SEAL@3.03@2.8785@6.12@5.3856@skinwallet@skinport@2.36
AK-47 | Asiimov (Well-Worn)@22.18@21.071@31.22@27.4736@skinwallet@skinport@5.29
AK-47 | Green Laminate (Factory New)@12.81@12.1695@20.03@17.6264@skinwallet@skinport@4.82
AK-47 | Head Shot (Well-Worn)@18.1@17.195@22.91@20.1608@skinwallet@skinport@2.06
AK-47 | Ice Coaled (Well-Worn)@6.61@6.2795@10.98@9.6624@skinwallet@skinport@3.05
AK-47 | Legion of Anubis (Minimal Wear)@9.38@8.911@13.05@11.484@skinwallet@skinport@2.1
AK-47 | Nightwish (Minimal Wear)@30.33@28.8135@39.59@34.839200000000005@skinwallet@skinport@4.51
AK-47 | Safety Net (Battle-Scarred)@3.1@2.945@6.57@5.7816@skinwallet@skinport@2.68
AK-47 | Vulcan (Minimal Wear)@392.89@373.2455@454.01@399.5288@skinwallet@skinport@6.64
AK-47 | Vulcan (Well-Worn)@118.82@112.879@153.0@134.64@skinwallet@skinport@15.82
AWP | Atheris (Factory New)@8.76@8.322@12.58@11.0704@skinwallet@skinport@2.31
AWP | Black Nile (Factory New)@5.43@5.158499999999999@8.9@7.832000000000001@skinwallet@skinport@2.4
AWP | Man-o'-war (Field-Tested)@27.9@26.505@38.94@34.267199999999995@skinwallet@skinport@6.37
AWP | Safari Mesh (Factory New)@2.17@2.0615@5.55@4.884@skinwallet@skinport@2.71
AWP | Sun in Leo (Minimal Wear)@12.42@11.799@16.7@14.696@skinwallet@skinport@2.28
Bloodhound Pin@4.74@4.503@8.0@7.04@skinwallet@skinport@2.3
Boston 2018 Legends (Holo-Foil)@137.09@130.2355@192.53@169.4264@skinwallet@skinport@32.34
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman@27.85@26.4575@40.77@35.8776@skinwallet@skinport@8.03
CS:GO Weapon Case@63.89@60.6955@92.0@80.96@skinwallet@skinport@17.07
CZ75-Auto | Emerald (Factory New)@17.31@16.444499999999998@28.0@24.64@skinwallet@skinport@7.33
CZ75-Auto | Syndicate (Minimal Wear)@1.7@1.615@5.04@4.4352@skinwallet@skinport@2.74
CZ75-Auto | Victoria (Field-Tested)@4.35@4.132499999999999@166.93@146.8984@skinwallet@skinport@142.55
Desert Eagle | Emerald Jörmungandr (Factory New)@239.02@227.069@302.71@266.3848@skinwallet@skinport@27.36
Dual Berettas | Anodized Navy (Factory New)@0.91@0.8644999999999999@4.79@4.2152@skinwallet@skinport@3.31
Dual Berettas | Dualing Dragons (Factory New)@1.22@1.159@4.26@3.7488@skinwallet@skinport@2.53
Dual Berettas | Flora Carnivora (Factory New)@1.66@1.577@4.33@3.8104@skinwallet@skinport@2.15
Dual Berettas | Switch Board (Factory New)@1.4@1.3299999999999998@5.09@4.4792@skinwallet@skinport@3.08
eSports 2013 Case@29.84@28.348@43.4@38.192@skinwallet@skinport@8.35
FAMAS | Macabre (Minimal Wear)@3.6@3.42@6.44@5.6672@skinwallet@skinport@2.07
FAMAS | Pulse (Field-Tested)@3.7@3.515@6.97@6.1336@skinwallet@skinport@2.43
FAMAS | Roll Cage (Minimal Wear)@4.04@3.838@7.22@6.3536@skinwallet@skinport@2.31
FAMAS | Styx (Minimal Wear)@3.62@3.439@16.14@14.2032@skinwallet@skinport@10.58
Five-SeveN | Fowl Play (Well-Worn)@1.42@1.349@5.56@4.892799999999999@skinwallet@skinport@3.47
G3SG1 | Polar Camo (Factory New)@0.21@0.1994999999999999@2.56@2.2528@skinwallet@skinport@2.04
Galil AR | Chatterbox (Battle-Scarred)@4.26@4.047@7.23@6.3624@skinwallet@skinport@2.1
Galil AR | Rocket Pop (Factory New)@3.59@3.4105@6.41@5.6408000000000005@skinwallet@skinport@2.05
Galil AR | Shattered (Minimal Wear)@3.97@3.7715@8.35@7.348@skinwallet@skinport@3.38
Galil AR | Tornado (Factory New)@3.27@3.1065@13.82@12.1616@skinwallet@skinport@8.89
Getaway Sally | The Professionals@27.02@25.669@33.84@29.779200000000003@skinwallet@skinport@2.76
Glock-18 | Brass (Minimal Wear)@22.93@21.7835@32.27@28.397600000000004@skinwallet@skinport@5.47
Glock-18 | Ramese's Reach (Field-Tested)@8.46@8.037@12.45@10.956@skinwallet@skinport@2.5
Glock-18 | Umbral Rabbit (Factory New)@2.04@1.938@5.55@4.884@skinwallet@skinport@2.84
Katowice 2019 Minor Challengers (Holo-Foil)@6.93@6.583499999999999@11.8@10.384@skinwallet@skinport@3.45
M249 | Shipping Forecast (Field-Tested)@8.22@7.809@15.57@13.7016@skinwallet@skinport@5.48
M4A1-S | Chantico's Fire (Factory New)@88.47@84.0465@103.41@91.0008@skinwallet@skinport@2.53
M4A1-S | Dark Water (Minimal Wear)@60.56@57.532@72.99@64.2312@skinwallet@skinport@3.67
M4A1-S | Player Two (Factory New)@78.26@74.34700000000001@94.54@83.1952@skinwallet@skinport@4.94
M4A1-S | Printstream (Well-Worn)@115.01@109.2595@133.61@117.5768@skinwallet@skinport@2.57
